company_no,company_name
5567988125,A Bergman Rör AB
5567988125,A Bergman Rör AB
5568391519,A Brash AB
5568871411,A Bygg och Montage i Piteå AB
5569369977,A Byggare i Väst AB
5564160371,A Bylunds Elektriska AB
5563594406,A C Ställningsmontage AB
5590478649,A Co Tak & Montage AB
5567054589,A D Gustafssons Rör AB
5590030499,A Dahlqvist Bygg & Betong AB
5568608961,A Gunnarssons Bygg AB
5565277547,A Hassel AB
5568416316,A Hedlund Bygg AB
5563014082,A Hedlunds Måleri AB
5568594161,A Jansson Bygg & Entreprenad AB
5563458065,A Jonsson Entreprenad AB
5569804767,A Jönsson Bygg & Handel AB
5562799303,A Krantz AB
5567154264,A M Johansson Bygg AB
5568361397,A M Plåt & Ventilation AB
5569292385,A Malmborgs Bygg AB
5562242684,A Modigs Plåt & Underhåll AB
5562074129,A Måleri & Golv i Uppland AB
5561780833,A Olsson Grund & Betong AB
5562301597,A P H Elektriska AB
5562095025,A T i Byggtjänst AB
5568907470,A & D Appelgren Bygg AB
5568057300,A & K Entreprenad AB
5564791738,A & R Axelssons Bygg AB
5565207023,A. Berglunds Vägunderhåll AB
5560363920,A. Bildmark & Son AB
5561291898,A. Börjesson Bygg AB
5563543353,A. Davidsson Måleri & Golv AB
5563543353,A. Davidsson Måleri & Golv AB
5566227400,A. Engströms Bygg AB
5568429491,A. Johansson Maskiner AB
5566531843,A. Karlsson Bygg Mellbystrand AB
5567254684,A. M. Pumptjänst AB
5565867677,A. Madsens Takservice AB
5561289652,A. Nordbecks Entreprenad AB
5561243147,A. Perssons Elektriska AB
5567613640,A. Pettersson Bygg AB
5567613640,A. Pettersson Bygg AB
5567173868,A. Sköld Entreprenad AB
5568355605,A. Z. Måleri & Fasad AB
5562751312,A. Öström Fastigheter AB
6202212855,A.B. Intos Maskintjänst
5590142716,A.Castewik snickerier AB
5590577523,A.E.M Bygg AB
5560795931,A.F.C. El AB
5565469490,A.G. Kakelspecialisten AB
5568801533,A.G.S Smide AB
5020755053,A.J. Power Limited
5569988776,A.J. Svetsning AB
5564488426,A.L. Ivarsson Fönster AB
5568646706,A.Lennartsson VVS-Service AB
5569297285,A.M Bygg & Takbolaget i Sthlm AB
5567811137,A.M.P Signalteknik AB
5568247125,A.N Måleri i Hammarö AB
5568420888,A.N.K Bygg & Renovering AB
5566854948,A.Palmérs i Mönsterås AB
5565129789,A.R.G Takmåleri & Service AB
5563760080,A.T.F. Consulting AB
5561664920,A.V.D. Värme och Vatten AB
5560666389,A.W. Jonaeson Bleck & Plåtslageri AB
5567240642,Aa - Glas AB
5567240642,Aa - Glas AB
5564921947,"Aabcms Ventilation, Plåt, El & Styr Gruppen AB"
5567507685,Aadax Totallås AB
5563523371,AB Ah Cederqvist & Söner
5564904331,AB Ahls Isoleringsfirma
5568437395,AB Allmänna Lås i Limhamn
5561709873,AB Alper Plåt & Ventilation
5566091582,AB Andrés VVS i Uppland
5568112980,AB Apexis
5561844506,AB Arnäs Glas
5563483113,AB Aros Rör och Svets
5560576273,AB Artur Sjöberg Smide
5563440089,AB Automat- & Kyltjänst Abak
5560545401,AB Axel & Hartvig Nylander
5561236943,AB Bandhagens Glasmästeri & Ramaffär
5566850169,AB Beletorps Maskiner
5561335950,AB Bengt Fredin Taktäckning & Isolering
5567256028,AB Bengt Karlssons Brunnsborrningar i Alsterbro
5561822569,AB Bergsbyns Plåt
5565144853,AB Betongborrning & Sågning i Ljungbyhed
5564131950,AB Betongbröderna
5561690859,AB Bors Rör
5566628490,AB Boxholmsteknik
5561953760,AB Bredareds Brunnsborrning
5560958869,AB Bresons Grävmaskiner
5561907501,AB Brobergs Rörledningsfirma
5567997415,AB Bror R Sjöbergs Måleri
5561265306,AB Brämhults Värmeteknik
5562864917,AB Bröderna Bergströms Gräv- & Dumpermaskiner
5561206094,AB Bröderna Falk Byggnadsställningar Eftr.
5560485475,AB Bröderna Hellmans Glasmästeri
5560734179,AB Bröderna Holsts Golvbeläggning
5568100662,AB Bröderna Lax
5561510875,AB Bröderna Thorins Grävmaskiner
5562974005,AB Br-Montageservice
5568837875,AB Bygg ABCDE
5566107479,"AB Bygg Pp, Preben Petersen"
5565563375,AB Bygg Selå
5590010350,AB Bygg & Villaregi i Halmstad
5567195234,AB Byggbyrån i Örgryte
5563008845,AB Bygglusth
5567529010,AB Byggnadsställningar Brämhult
5567573422,AB Byggplåt i Landvetter
5567573422,AB Byggplåt i Landvetter
5563797983,AB Byggprojekt i Dalarna
5569313868,AB Byggruppen i Marieholm-Göteborg
5561747410,AB Bång & Lewerth
5568208655,AB Bäckströms Eftr.
5560830381,AB C.R. Malms Trädgårdsanläggningar
5565046066,AB Carléns Måleri
5564520475,AB Carléns Rör
5560453804,AB Cemek
5565146031,AB City Hiss Stockholm
5561420752,AB Clois Serneberg
5569105819,AB Confrema Entreprenad
5569648776,AB Cyréns i Skåne
5563432276,AB Cyréns Trädgårdsanläggningar
5563432276,AB Cyréns Trädgårdsanläggningar
5561859850,AB D. Sjölunds Värme
5567469951,AB Dala Entreprenad
5564427697,AB Dan Gustavssons Maskinstation
5563155448,AB Davidssons Marktjänst
5560736992,AB Deje Byggtjänst
5569761728,AB Di Tech Drilling Energy
5566943881,AB Elfirman Zetterlund O Dahlöv
5564471158,AB Elkraft Standal
5567023998,AB Elteam Norrtälje
5562233444,AB Elvings Brunnsborrning
5562428291,AB ElWest Sverige
5567373112,AB Emanuelsson VVS-Byrå
5561962324,AB Emådalsschakt
5562058833,AB Energiekonomi i Farsta
5560519240,AB Ericsbergs Säteri - Byggnadsavdelningen
5590679139,AB Erlandsson's VVS & fastighetsservice
5569749137,AB Evelko
5566433529,AB Falkenbergs Glasmästeri
5561219170,AB Falkenbergs Plåtslageri
5564117637,AB Falkenbergs Taktäckning
5564473022,AB Fiddelboden
5561952978,AB Fjugesta Elektriska
5563022580,AB Fläktman
5563653046,AB Forserums Kran & Montage
5561416743,AB Fristads Bleck & Plåtslageri
5562013523,AB Frölunda Betonggolv
5560890138,AB Gardells Plåtslageri
5564594314,AB Geo-Byggen
5560967712,AB Gerald Karlsson
5566157094,AB Gevert Bergman Bygg & Co
5560880600,AB Gislaveds Glasmästeri
5590075874,AB GMS Plåtslageri
5567251102,AB Golv Non Stop
5563128403,AB Golv & Tak
5564121621,AB Golvinteriör
5561316612,AB Golv-City i Vetlanda
5566211412,AB Gruplas
5566996327,AB Grönstedts Entreprenad
5560902784,AB Göteborgs Golvläggarecentral
5564933603,AB Habo Rör
5560968892,AB Halmstad Golvservice
5561897603,AB Hedemora Glasmästeri
5562825967,AB Hemse Plåt
5563139673,AB Henriksbergs Verkstäder
5562895564,AB Hessels Måleri Färgcenter
5567777544,AB Hisscompaniet Skåne
5560517236,AB Hjalmar Ohlssons Elektriska Byrå
5562962133,AB Hofors VVS-Installationer
