company_no,company_name
5560004615,Skanska AB
5560614330,Peab AB
5560339086,Skanska Sverige AB
5566134929,NCC Sverige AB
5560999202,Peab Sverige AB
5560452103,JM AB
5565686721,Peab Anläggning AB
5561974188,Bravida Sverige AB
5567689848,Svevia AB (publ)
5569951279,Windfarm Högkölen AB
5560747551,IKEA of Sweden AB
5565086583,Veidekke Entreprenad AB
5566595764,Ola Serneke Holding AB
5566694153,SERNEKE Group AB (publ)
5563023307,NCC Industry Aktiebolag
5566216908,Serneke Sverige AB
5564170859,Vattenfall Services Nordic AB
5569959017,Gluggenbygg AB
5560528753,Caverion Sverige AB
5568075252,OX2 Construction AB
5560134628,Assemblin El AB
5567933089,Infranord AB
5562375161,Peab Bostad AB
5560988122,Peab Asfalt AB
5560032921,Siemens Aktiebolag
5566165295,MVB Holding AB
5567264121,Bonava Sverige AB
5561947986,Tyréns AB
9697004332,Anticimex Services Kommanditbolag
9697715770,Skanska ESS Construction Handelsbolag
5020682109,NORDEX ENERGY GMBH
5020769153,NORD STREAM 2 AG
5164116617,UPB Sverige filial
5564363595,Midroc Electro Aktiebolag
5560663675,Peab Byggservice Aktiebolag
5565719449,Strukton Rail Aktiebolag
5561330506,Ramboll Sweden AB
5591856603,Ledin Consulting i Sundsvall AB
5560830829,Wästbygg AB
5560536194,Assemblin VS AB
5563825750,Implenia Sverige AB
5562344639,KONE Aktiebolag
5563519163,Brixly AB
5567799456,Zengun AB
5563893956,Eolus Vind Aktiebolag (publ).
5560757287,One Nordic AB
5564011756,JSB CONSTRUCTION AB
5564123494,JSB Gruppen AB
5567675144,SEHED Byggmästargruppen AB
5562021237,Tuve Bygg Aktiebolag
5569721110,Nordic Fashion Group AB
5565507307,Nordr Sverige AB
5560663196,Arcona Aktiebolag
5564690732,Eitech Electro AB
5567109243,ByggPartner i Dalarna Holding AB (publ)
5591137947,JCM Vargön AB
5567179444,IP-Only Produktion AB
5565070868,SWECO Civil AB
5567245948,Billström Riemer Andersson Bygg AB
5567026934,Infratek Sverige AB
