company_no,company_name
5591856603,Ledin Consulting i Sundsvall AB
5164030982,Andritz OY Finland; filial Sverige
5560972084,Ryds Glas Sverige AB
5566573522,Stenger & Ibsen Construction Sverige AB
5561924555,VTG Entreprenad AB
5563755940,Contractor Bygg i Sundsvall AB
5164050568,S-BAU SK s.r.o. Slovakia filial Sweden
5564733102,Teknisk Fastighetsservice i Norrland              Aktiebolag
5565409165,Picea Bygg AB
5561768200,AB Härnösands Schakt & Trädgårdsanläggningar
5565636502,Westerlind Försäljning AB
5567422745,Nybergs Bygg & Måleri NBM AB
5565511515,Ellextre Entreprenad AB
5590068861,Energihem i Sverige AB
5565388955,AF Härnösand Byggreturer AB
5590220173,Nordic Road Safety AB
5568770738,Tunbyns grävkonsult AB
5568262454,Faradium Bygg AB
5566259791,Byggtjänst i Ö-vik AB
5590591722,Selångersfjärdens Fastigheter i Sundsvall AB
5568001746,Timrå Allmontage AB
5564647237,Kempes El Aktiebolag
5569208829,HighCon AB
5566344296,Engbergs Transportsystem AB
5565982542,Mittnorden Holding AB
5568154925,Sprincom AB
5591431530,GOODWAY Entreprenad AB
5590110960,Byggnadsaktiebolaget Lennart Eriksson
5561863647,Björcks Entreprenad-Konsult Aktiebolag
5564671708,City Golf Europe AB
5565477287,Nynäs Tak Entreprenad Norrland Aktiebolag
5562556703,Mästarna Sjölander AB
5568754260,Byggbiten i Norrland AB
5591478366,Sundsvalls Berghantering AB
5562893858,Wiklunds Rör i Sundsvall AB
5567176945,Anundsjö Byggnads AB
5564088838,J A Skogström AB
5561987214,Åkerlund VA och Planerings Aktiebolag
5568756620,Åsbergs Rörteknik AB
5566227483,Scior Geomanagement AB
5567052492,Örnsköldsviks Rörteknik AB
5590303474,Byggpoolen i Sundsvall AB
5565963336,Fastighets Competens i Norrland AB
5566254503,JW Brunnsborrning AB
5560642042,Winther Bygg Aktiebolag
5567483374,Miljöventilation i Mellannorrland AB
5567038202,Inlands Luft AB
5562030741,Bredbyns Schakt Bröderna Lundgren Aktiebolag
5564936754,Åke Sjöström Aktiebolag
5566951553,Energi & Driftteknik i Sundsvall AB
5590458864,Grönborgs Bygg AB
5567944185,Inframix AB
5567602395,Själevads Bygg AB
5565509873,Norrböle Sten & Kross AB
5566538996,S.T. Wiiks Bygg AB
5561859850,Aktiebolaget D. Sjölunds Värme
5567921209,FD Maskin AB
5564481215,TSB Borrentreprenad AB
5563110732,Selångers Lastmaskiner Aktiebolag
5566165121,Sundsvalls Elteam AB
5569975302,Norrlands Mark & Anläggningar AB
5566603881,Sandå Sundsvall AB
5565421236,Ventilation & Kylservice Norr AB
5566260427,Sollefteå såg & borrteknik sbt AB
5562723121,EAB Norrland AB
5566770649,Mikaelssons Bygg AB
5590168232,BGT Liden AB
5564256039,Alf Näslunds Eltjänst AB
5569441875,Bricon AB
5565121760,Takringen i Norr AB
5590244884,Energi & Climat Ventilation i Sundsvall AB
5566825823,Curt Petterssons Värme AB
5565620084,Christer Lövgren Entreprenad AB
5566989132,Tottes Svets & Industrimontage AB
5563160380,Biscaya Tak AB
5567250948,Ö-viks Brunnsborrning AB
5562211283,Ånge Mobilkranar Aktiebolag
5591816110,North Sweden Construction AB
5563334472,Nylén & Näsholm Bygg Aktiebolag
5569127771,Projektfönster ML Aktiebolag
5563988251,Rörteamet Själevad Aktiebolag
5590568415,NMT Montageteknik i Norden AB
5561967216,Dynäs Måleri Aktiebolag
5565394375,S-G Lundins Elektriska Aktiebolag
5565561973,Sundsvalls El och Larmservice AB
5565298709,Jonsson Isolering och Tak J.I.T. Aktiebolag
5568767452,SWESAR Construction AB
5568331259,K. Wallins Murteknik AB
5566639653,Structor Norr AB
5564054293,Byggteamet i Örnsköldsvik Aktiebolag
5567003339,Bryngels AB
5562043801,Ivar Lundqvist Entreprenad Aktiebolag
5565934808,Lasse Lundgren Grävare Aktiebolag
5569805244,JK Building Invest AB
5567193593,Perfect Match Interior AB
5566286778,Tre Jonsson Bygg AB
5560953498,El-centralen G. Westman Aktiebolag
5565963237,Jason Montage AB
5561954362,Mästarna Nord Team AB
5568738354,Powermont AB
5566636899,Lelles Brunnsborrning Aktiebolag
5566341110,Sparenergi i Kramfors AB
5567418024,MBT Dyk AB
