company_no,company_name
5592495021,Elefy AB
5164122912,Frekvent bygg filial
5560751751,Ibacro Ekonomi Aktiebolag
980516XXXX,Holmberg; Matilda
5592255243,Tradita Bygg & Montage AB
831127XXXX,Jumoah; Ahmed Hashem
520617XXXX,SHELBAYA; SAMIA AHMED MOHAMED
650227XXXX,Fenix Inredning och Design
5592353378,DO Rivningstjänst AB
5592516180,DAPRO AB
5592471444,Henrik Wall Marine Engineering AB
950807XXXX,ColorAstic
5592691587,Elyas Bygg AB
720501XXXX,Berling; Mattias Arne
680418XXXX,Kal-El Installationer
560129XXXX,Johnsson; Leif Jonny
7696386627,Ek. för. Rekick
790515XXXX,Becheru; Marian
5591807408,Home of Styling Båstad AB
5592515869,We Ly Consulting AB
780507XXXX,Wik; Per-Johan Erik
5564711512,GlasMiljö i Malmö Försäljnings Aktiebolag
470529XXXX,Magnusson Hellberg; Lena Tyra
670610XXXX,Årman; Mats
771110XXXX,Mitanni Måleri
5592538804,SFC Gräv & Dikning AB
5565766531,Sjaelsö Sverige AB
5592590227,The Logo Company TLC AB
9697769041,ArkitektBygg i Skälderviken Kommanditbolag
840127XXXX,Hasselberg; Petter
711183XXXX,Märten; Daniel
5592555964,MAFFTEC NORD AB
630512XXXX,Cruses Bygg
700612XXXX,Revin; Sergej
5592478092,AB Veberöds Bygg och Fastighet
5569927782,Trekantens Handelsområde i Hjärup AB
5592523525,DP Mekaniska AB
5164109158,SKENDO BYGG LIMITED UK Filial
5592546344,Browning Byggservice AB
5592548696,P & G Golv AB
5592535966,JRL Måleri i Malmö AB
770731XXXX,Jhåkanssons Entreprenad
990414XXXX,D4 access & montage
5592592553,LAO Energi & Allfix AB
670825XXXX,M. Stark's Kamin och Taksäkerhet
770805XXXX,Gustafsson; Martin
890909XXXX,Pencarski; Pawel
5569598856,MANDIRI AB
650107XXXX,Landskrona värmepumpsservice
5592332778,Thord Dahl Bygg & Fastighet AB
5592538952,Hillon Bygg AB
901003XXXX,Lisander Bygg
5592085970,Bo Palm Konsult AB
660501XXXX,Vasatorp Entrepenör
001219XXXX,LINDEBLAD; SELMA
741212XXXX,Vernersson; Mats
660611XXXX,Baz; Ayman
710305XXXX,Osman; Osman Salif
000808XXXX,RS - bygg och renovering
920919XXXX,von Rosen; Johanna
930424XXXX,Nilsson; Max
950820XXXX,Bjursgård; Joel
5563083533,Husberg Arkitektkontor Aktiebolag
302345XXXX,GORECKI; MAREK
761217XXXX,Mates; Anamaria Carmen
5592651862,Jim Collin Ljusrådgivning AB
