company_no,company_name
5560004615,Skanska AB
5560614330,Peab AB
5560339086,Skanska Sverige AB
5566134929,NCC Sverige AB
5560999202,Peab Sverige AB
5560452103,JM AB
5565686721,Peab Anläggning AB
5561974188,Bravida Sverige AB
5567689848,Svevia AB (publ)
5569951279,Windfarm Högkölen AB
5560747551,IKEA of Sweden AB
5565086583,Veidekke Entreprenad AB
5566595764,Ola Serneke Holding AB
5566694153,SERNEKE Group AB (publ)
5563023307,NCC Industry Aktiebolag
5566216908,Serneke Sverige AB
5564170859,Vattenfall Services Nordic AB
5569959017,Gluggenbygg AB
5560528753,Caverion Sverige AB
5568075252,OX2 Construction AB
5560134628,Assemblin El AB
5567933089,Infranord AB
5562375161,Peab Bostad AB
5560988122,Peab Asfalt AB
5560032921,Siemens Aktiebolag
5566165295,MVB Holding AB
5567264121,Bonava Sverige AB
5561947986,Tyréns AB
9697004332,Anticimex Services Kommanditbolag
9697715770,Skanska ESS Construction Handelsbolag
5020682109,NORDEX ENERGY GMBH
5020769153,NORD STREAM 2 AG
5164116617,UPB Sverige filial
5564363595,Midroc Electro Aktiebolag
5560663675,Peab Byggservice Aktiebolag
5565719449,Strukton Rail Aktiebolag
5561330506,Ramboll Sweden AB
5591856603,Ledin Consulting i Sundsvall AB
5560830829,Wästbygg AB
5560536194,Assemblin VS AB
5563825750,Implenia Sverige AB
5562344639,KONE Aktiebolag
5563519163,Brixly AB
5567799456,Zengun AB
5563893956,Eolus Vind Aktiebolag (publ).
5560757287,One Nordic AB
5564011756,JSB CONSTRUCTION AB
5564123494,JSB Gruppen AB
5567675144,SEHED Byggmästargruppen AB
5562021237,Tuve Bygg Aktiebolag
5569721110,Nordic Fashion Group AB
5565507307,Nordr Sverige AB
5560663196,Arcona Aktiebolag
5564690732,Eitech Electro AB
5567109243,ByggPartner i Dalarna Holding AB (publ)
5591137947,JCM Vargön AB
5567179444,IP-Only Produktion AB
5565070868,SWECO Civil AB
5567245948,Billström Riemer Andersson Bygg AB
5567026934,Infratek Sverige AB
5565319984,Bygg Partner i Dalarna Aktiebolag
5562412964,IN3PRENÖR Aktiebolag
5567056097,Bygg Dialog AB
5566716378,Züblin Scandinavia AB
5560519232,"Sh bygg, sten och anläggning AB"
5562049501,COWI AB
5569131732,Martin Hansson Bygg AB
5567315170,Framtiden Byggutveckling AB
5560608837,JM Entreprenad AB
5567426399,FARRE Invest AB
5562975143,YIT Sverige AB
5566075692,Gunnar Karlsen Sverige AB
5567289177,Assemblin Ventilation AB
5564318458,SVEAB Anläggning AB
5564830957,HMB Construction AB
5564677119,Sandå Sverige AB
5566816111,Bilfinger Industrial Services Sweden AB
5566847926,Åhlin & Ekeroth Byggnads AB
5565040036,Gärahovs Bygg Aktiebolag
5568247984,Oscar Properties Bygg AB
5569386963,Logistic Contractor AB
5560761214,MVB Syd AB
5567569792,Nordex Sverige AB
5563264216,Nåiden Bygg Aktiebolag
5567977078,Magnolia Bostad AB
5590788666,Siemens Gamesa Renewable Energy Aktiebolag
5566089669,BAB bygg AB
5562509223,Derome Hus AB
5565808846,Nordic Railway Construction Sverige AB
5565971081,Sector Alarm AB
5564541315,Bravida Prenad AB
5562873967,Eric Andersson Gruppen AB
5566533922,Kärnhem Bostadsproduktion AB
5560659145,Thage i Skåne Aktiebolag
5566586573,Byggnadsaktiebolaget Tornstaden
5560049057,ASSA ABLOY Entrance Systems Sweden AB
5567055305,RO-Gruppen Förvaltning AB
5567679849,Sweco Rail AB
5565207007,Rekab Entreprenad AB
5566347711,Ikano Bostadsproduktion AB
5567643498,Anläggning & Kabel Entreprenad i Malmö AB
5564819372,Fastec Sverige Aktiebolag
5590356050,Dynasafe Demil Systems AB
5561299800,Hercules Grundläggning Aktiebolag
5564721164,Craftor AB
5561029322,GE Energy (Sweden) AB
5564635273,Byggmästar'n i Skåne Aktiebolag
5567109870,OBOS Projektutveckling AB
5567826176,ED Gruppen AB
5566894217,Multibygg Sydost AB
5565197000,Byggnavet AB
5565278198,MVB Astor Bygg AB
5566781943,Tommy Byggare AB
5565329926,Midroc Projects AB
5565423968,Svenska Entreprenad & Förvaltningsaktiebolag
5565295911,Certego AB
5562153865,Mark & Energibyggarna i Göteborg Aktiebolag
5564476140,BTH Bygg Aktiebolag
5565214268,Erlandsson Bygg i Stockholm AB
5562144716,Järntorget Bostad AB
5564848918,ED Bygg Sverige AB
5562312636,Kanonaden Entreprenad AB
5567897144,Hancap AB (publ)
5566227061,ByggUt-Dahlström Byggutveckling AB
5560945197,Barsebäck Kraft Aktiebolag
5560493263,Emil Lundgren AB
