company,id,year,net_sales,other_sales,op_profit_ebit,prof_after_net_fin_items,results,sub_unpaid_cap,fixed_assets,current_assets,assets,equity,untaxed_reserves,provisions,lt_liabilities,curr_liabilities,lia_and_equity,salar_board_ceo,royalties_board_ceo,sal_other_empl,perf_other_empl,social_exp,dividends,revenue,num_employes,net_sales_empl,pers_cost_empl,op_prof_ebitda,net_change,du_pont_model,prof_margin,gross_prof,working_cap,solidity,quick_ratio
C&M Project i Stockholm Aktiebolag,5565676110,2019,47284,-,2620,2619,1657,0,135,16705,16840,1868,4355,0,0,10618,16840,-,-,-,-,-,0,47284,26,1819,1058,2654,3.65%,15.56%,5.54%,100.00%,12.87%,31.26%,157.33%
C&M Project i Stockholm Aktiebolag,5565676110,2018,45619,26,6299,6298,4307,0,152,18533,18685,4511,3965,0,0,10209,18685,-,-,-,-,-,4300,45645,24,1901,1029,6330,0.07%,33.71%,13.81%,100.00%,18.25%,40.69%,181.54%
C&M Project i Stockholm Aktiebolag,5565676110,2017,45588,-,5776,5776,3880,0,151,17145,17296,4003,3245,0,0,10048,17296,-,-,-,-,-,3800,45588,25,1824,1020,5807,16.64%,33.40%,12.67%,100.00%,15.57%,37.78%,170.63%
C&M Project i Stockholm Aktiebolag,5565676110,2016,39086,5,4712,4709,4091,0,148,14548,14696,4224,2500,0,0,7972,14696,-,-,-,-,-,4100,39091,23,1699,965,4736,-2.65%,32.08%,12.06%,100.00%,16.82%,42.01%,182.49%
C&M Project i Stockholm Aktiebolag,5565676110,2015,40150,5,5018,5025,3370,0,147,14093,14240,3633,3100,0,0,7507,14240,-,-,13737,-,6091,3500,40155,20,2008,1036,5037,7.53%,35.29%,12.52%,100.00%,16.40%,42.49%,187.73%
C&M Project i Stockholm Aktiebolag,5565676110,2014,37340,-,6150,6175,4114,0,71,14274,14345,4263,2450,0,0,7632,14345,-,-,14048,-,6184,0,37340,20,1867,1037,6169,25.41%,43.10%,16.56%,81.71%,17.79%,43.04%,187.03%
C&M Project i Stockholm Aktiebolag,5565676110,2013,29775,-,4931,4967,3502,0,89,10830,10919,3649,1620,0,0,5651,10919,-,-,11304,-,5208,3500,29775,16,1861,1068,4967,3.94%,45.67%,16.75%,84.46%,17.39%,44.99%,191.65%
C&M Project i Stockholm Aktiebolag,5565676110,2012,28646,23,3684,3752,2655,0,125,10938,11063,2797,1192,0,0,7074,11063,0,-,10425,-,4714,2650,28669,15,1910,1036,3725,12.48%,34.00%,13.13%,79.32%,13.49%,33.22%,154.62%
C&M Project i Stockholm Aktiebolag,5565676110,2011,25467,14,4181,4223,2671,0,73,10095,10168,2812,1092,0,0,6264,10168,5948,-,2509,-,3869,2670,25481,13,1959,975,4335,46.00%,41.63%,16.62%,100.00%,15.04%,35.57%,161.16%
C&M Project i Stockholm Aktiebolag,5565676110,2010,17443,16,2245,2252,1614,0,176,6201,6377,1741,572,0,0,4063,6377,3863,-,2650,-,2184,1600,17459,13,1342,758,2420,-,35.35%,12.92%,100.00%,12.26%,33.91%,152.62%
Skanska AB,5560004615,2019,172846000,591000,7428000,7340000,6054000,0,25112000,100906000,126018000,32924000,97000,10021000,18319000,64657000,126018000,590000,-,20918000,-,5695000,0,173437000,34756,4973,783,10471000,0.65%,6.04%,4.41%,9.43%,20.97%,26.13%,76.44%
Skanska AB,5560004615,2018,171730000,855000,5647000,5686000,4594000,0,20510000,95786000,116296000,29250000,97000,0,10292000,76657000,116296000,551000,-,21068000,-,5294000,0,172585000,38650,4443,696,5647000,8.77%,5.02%,3.40%,8.31%,11.14%,25.15%,68.02%
Skanska AB,5560004615,2017,157877000,1655000,4578000,4623000,4111000,0,19737000,89700000,109437000,27185000,0,0,10695000,71557000,109437000,554000,213000,21448000,-,5415000,0,159532000,40759,3873,673,6165000,8.61%,4.57%,3.17%,8.09%,11.49%,24.84%,69.36%
Skanska AB,5560004615,2016,145365000,2126000,7220000,7101000,5722000,0,19966000,86539000,106505000,33742000,156000,1000,3656000,68950000,106505000,588000,-,21190000,-,5531000,0,147491000,42903,3388,637,8568000,-5.02%,7.06%,5.17%,9.80%,12.10%,31.68%,124.00%
Skanska AB,5560004615,2015,153049000,1270000,6290000,5976000,4780000,0,18107000,79560000,97667000,24079000,127000,5255000,3874000,64332000,97667000,514000,-,23058000,-,5890000,0,154319000,48470,3158,608,7869000,6.78%,6.77%,4.32%,9.07%,9.95%,24.65%,80.20%
Skanska AB,5560004615,2014,143325000,669000,5409000,5129000,3850000,0,18007000,74767000,92774000,21251000,154000,4655000,8078000,58636000,92774000,511000,191000,22293000,-,5116000,0,143994000,57866,2477,482,7006000,5.01%,5.98%,3.87%,9.15%,11.25%,22.91%,81.24%
Skanska AB,5560004615,2013,136488000,693000,5555000,5320000,3769000,0,18702000,68830000,87532000,21177000,162000,4415000,6505000,55273000,87532000,517000,198000,21218000,-,4739000,0,137181000,57105,2390,464,7123000,5.52%,6.53%,4.19%,9.18%,9.93%,24.19%,77.35%
Skanska AB,5560004615,2012,129350000,965000,4018000,3784000,2861000,0,18520000,69715000,88235000,19187000,166000,4677000,4820000,59385000,88235000,506000,-,21293000,-,5317000,0,130315000,56618,2285,479,5536000,8.94%,4.82%,3.29%,8.94%,7.99%,21.75%,70.27%
Skanska AB,5560004615,2011,118734000,4942000,8413000,8425000,7595000,0,18493000,64277000,82770000,19413000,170000,4701000,1335000,57151000,82770000,497000,197000,19679000,-,4789000,0,123676000,52557,2259,475,9806000,-2.86%,10.69%,7.45%,9.54%,6.00%,23.45%,69.73%
Skanska AB,5560004615,2010,122224000,541000,5458000,5423000,4022000,0,15546000,62166000,77712000,20670000,122000,2881000,1107000,52932000,77712000,505000,192000,19409000,-,4578000,0,122765000,51645,2367,474,6759000,-,7.52%,4.78%,10.19%,7.55%,26.60%,77.14%
Fredrik Eriksson National AB,5590394119,2019,39114,59,2726,2725,2135,0,75,14546,14621,5175,0,0,15,9431,14621,-,-,-,-,-,0,39173,32,1222,463,2745,181.90%,18.64%,6.97%,76.40%,13.08%,35.39%,150.99%
Fredrik Eriksson National AB,5590394119,2018,13875,-,3069,3069,2396,0,0,9937,9937,3385,0,0,15,6536,9937,-,-,-,-,-,345,13875,7,1982,671,3069,-,30.88%,22.12%,75.86%,24.51%,34.06%,144.95%
Fredrik Eriksson National AB,5590394119,2017,0,-,-3,-3,-3,0,0,434,434,419,0,0,15,0,434,0,0,0,0,0,0,0,0,-,-,-3,-,-,-,-,-,96.54%,-
Fredrik Eriksson National AB,5590394119,2016,0,-,-8,-8,-8,0,0,42,42,42,0,0,0,0,42,-,-,-,-,0,0,0,-,-,-,-8,-,-,-,-,-,100.00%,-
MDM Olsson AB,5565977914,2019,9971,126,356,356,277,0,16,1559,1574,377,0,0,0,1197,1574,-,-,-,-,-,250,10097,4,2493,409,373,119.58%,22.62%,3.57%,85.65%,3.63%,23.95%,116.54%
MDM Olsson AB,5565977914,2018,4541,279,346,344,261,0,33,785,818,491,0,0,0,328,818,-,-,-,-,-,390,4820,4,1135,340,365,24.34%,42.30%,7.62%,67.63%,10.06%,60.02%,200.30%
MDM Olsson AB,5565977914,2017,3652,171,340,339,257,0,52,826,878,514,0,0,0,364,878,-,-,-,-,-,285,3823,4,913,271,359,1.90%,38.72%,9.31%,57.15%,12.65%,58.54%,187.64%
MDM Olsson AB,5565977914,2016,3584,153,197,197,149,0,72,717,789,257,0,0,0,531,789,-,-,-,-,-,0,3737,4,896,306,216,8.61%,24.97%,5.50%,54.05%,5.19%,32.57%,114.88%
MDM Olsson AB,5565977914,2015,3300,310,499,499,384,0,91,875,967,508,0,0,0,458,967,-,-,819,-,262,400,3610,4,825,273,518,1.10%,51.60%,15.12%,53.73%,12.64%,52.53%,167.69%
