company,id,year,net_sales,other_sales,op_profit_ebit,prof_after_net_fin_items,results,sub_unpaid_cap,fixed_assets,current_assets,assets,equity,untaxed_reserves,provisions,lt_liabilities,curr_liabilities,lia_and_equity,salar_board_ceo,royalties_board_ceo,sal_other_empl,perf_other_empl,social_exp,dividends,revenue,num_employes,net_sales_empl,pers_cost_empl,op_prof_ebitda,net_change,du_pont_model,prof_margin,gross_prof,working_cap,solidity,quick_ratio
Skanska AB,5560004615,2019,172846000,591000,7428000,7340000,6054000,0,25112000,100906000,126018000,32924000,97000,10021000,18319000,64657000,126018000,590000,-,20918000,-,5695000,0,173437000,34756,4973,783,10471000,"0,65%","6,04%","4,41%","9,43%","20,97%","26,13%","76,44%"
Skanska AB,5560004615,2018,171730000,855000,5647000,5686000,4594000,0,20510000,95786000,116296000,29250000,97000,0,10292000,76657000,116296000,551000,-,21068000,-,5294000,0,172585000,38650,4443,696,5647000,"8,77%","5,02%","3,40%","8,31%","11,14%","25,15%","68,02%"
Skanska AB,5560004615,2017,157877000,1655000,4578000,4623000,4111000,0,19737000,89700000,109437000,27185000,0,0,10695000,71557000,109437000,554000,213000,21448000,-,5415000,0,159532000,40759,3873,673,6165000,"8,61%","4,57%","3,17%","8,09%","11,49%","24,84%","69,36%"
Skanska AB,5560004615,2016,145365000,2126000,7220000,7101000,5722000,0,19966000,86539000,106505000,33742000,156000,1000,3656000,68950000,106505000,588000,-,21190000,-,5531000,0,147491000,42903,3388,637,8568000,"-5,02%","7,06%","5,17%","9,80%","12,10%","31,68%","124,00%"
Skanska AB,5560004615,2015,153049000,1270000,6290000,5976000,4780000,0,18107000,79560000,97667000,24079000,127000,5255000,3874000,64332000,97667000,514000,-,23058000,-,5890000,0,154319000,48470,3158,608,7869000,"6,78%","6,77%","4,32%","9,07%","9,95%","24,65%","80,20%"
Skanska AB,5560004615,2014,143325000,669000,5409000,5129000,3850000,0,18007000,74767000,92774000,21251000,154000,4655000,8078000,58636000,92774000,511000,191000,22293000,-,5116000,0,143994000,57866,2477,482,7006000,"5,01%","5,98%","3,87%","9,15%","11,25%","22,91%","81,24%"
Skanska AB,5560004615,2013,136488000,693000,5555000,5320000,3769000,0,18702000,68830000,87532000,21177000,162000,4415000,6505000,55273000,87532000,517000,198000,21218000,-,4739000,0,137181000,57105,2390,464,7123000,"5,52%","6,53%","4,19%","9,18%","9,93%","24,19%","77,35%"
Skanska AB,5560004615,2012,129350000,965000,4018000,3784000,2861000,0,18520000,69715000,88235000,19187000,166000,4677000,4820000,59385000,88235000,506000,-,21293000,-,5317000,0,130315000,56618,2285,479,5536000,"8,94%","4,82%","3,29%","8,94%","7,99%","21,75%","70,27%"
Skanska AB,5560004615,2011,118734000,4942000,8413000,8425000,7595000,0,18493000,64277000,82770000,19413000,170000,4701000,1335000,57151000,82770000,497000,197000,19679000,-,4789000,0,123676000,52557,2259,475,9806000,"-2,86%","10,69%","7,45%","9,54%","6,00%","23,45%","69,73%"
Skanska AB,5560004615,2010,122224000,541000,5458000,5423000,4022000,0,15546000,62166000,77712000,20670000,122000,2881000,1107000,52932000,77712000,505000,192000,19409000,-,4578000,0,122765000,51645,2367,474,6759000,-,"7,52%","4,78%","10,19%","7,55%","26,60%","77,14%"
