company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
J.N. Kraftinstallatörer Aktiebolag,5591365738,7,43,Rinaldo; Patrik Mikael,1,0,J.N. Kraftinstallatörer Aktiebolag
Nya Arkitektriket AB,5592100993,3,51,Borin; Carl Patrik,5,3,Borin & Co AB|Borinco AB|HeSaPa Holding AB|Kaggeholm 6 AB|Nya Arkitektriket AB
BJ Byggteknik Aktiebolag,5560998428,3,71,Vesterberg; Kjell Arne,6,15,Metropol Fastighets AB|Metrolit Construction Management AB|Bubble Wine Alvik AB|Fastighets Aktiebolaget Julblomman|Räboda Fastigheter AB|BJ Byggteknik Aktiebolag
Steninge Slott Fastighet 1 AB,5590275276,2,59,Gustafsson; Mats Elis Richard,7,6,UPGRADE Living AB|Upgrade Development AB|Upgrade Design Stockholm AB|Bostadsrättsföreningen Trädgårdsstaden i Steninge|Upgrade Holding AB|Steninge SF2 AB|Steninge Slott Fastighet 1 AB
Jan Rafstedt Aktiebolag,5562154772,2,80,Rafstedt; Jan Olof Holger,1,1,Jan Rafstedt Aktiebolag
Stuvsta Fastighets Aktiebolag,5561065912,3,63,Delin; Johan Mikael,3,10,X-Yachts Sweden AB|Stuvsta Fastighets Aktiebolag|Delin Yachting AB
Stuvsta Fastighets Aktiebolag,5561065912,3,63,Delin; Alf Magnus,2,7,Delins Fjäll och Fastighets AB|Stuvsta Fastighets Aktiebolag
Glasberga Fastighetsaktiebolag,5563610707,8,51,Werlinder; Pontus Daniel,3,5,Glasberga Fastighetsaktiebolag|Telge Hovsjö AB|Telge Bostäder AB
Glasberga Fastighetsaktiebolag,5563610707,8,51,Scheu; Karin Anneli,2,4,Glasberga Fastighetsaktiebolag|Scheu Bygg & Fastighet AB
Northscan AB,5592225360,3,42,Amnebo; Fredrik Mathias,1,1,Northscan AB
Wama Entreprenad AB,5590970439,2,51,Damps; Marcin,3,2,Wama Entreprenad AB|AMSTO Entreprenad AB|WAMA AB
Evolution Sales Management Sweden AB,5569773897,2,58,Råhlander; Erik Magnus,1,1,Evolution Sales Management Sweden AB
HLG projekt AB,5591610604,2,44,Lundberg; Håkan Ove,1,0,HLG projekt AB
Jerker Larsson AB,5565137659,2,55,Larsson; Jan Olof Jerker,6,8,Larsson Arkitekter i Stockholm Aktiebolag|Jerker Larsson AB|FB Larsson Invest 1 AB|Larsson Fastighetsutveckling i Stockholm Projekt 1 AB|Larsson Fastighetsutveckling i Stockholm AB|Larsson Fastigheter i Stockholm AB
Faskunge Bostadsutveckling AB,5591148522,3,46,Bandstigen; E Ann-Christin E,16,31,STIGA Sports Group AB|STIGA Sports AB|Faskunge Fastigheter AB|Realtorgroup Europe AB|Frihetsbyrån AB|Borsökna Vattenburk Kommanditbolag|Bandstigen Invest AB|Faskunge Holding AB|Mått Johanssons väg AB|Faskunge Projektholding 3 AB|Faskunge Projektholding 2 AB|STIGA Sports Holding AB|Kassle Fastighet & Invest AB|Projektbolaget 3 Faskunge AB|Bandstigen i Eskilstuna AB|Faskunge Bostadsutveckling AB
Skedevi Holding AB,5564426459,2,45,Löb; Erik Johan,7,8,Byggnadstekniska Byrån Sverige AB|Technology for Infrastructure projects Sweden AB|Technology for Infrastructure projects Gothenburg AB|Technology for Infrastructure projects Stockholm  AB|Technology for Infrastructure projects International AB|Skedevi Holding AB|Skedevi Jordbruksförvaltning AB
7 Feman Entreprenad AB,5565553632,2,50,Kosaric; Nermin,3,9,Winab FöretagsService AB|JNK Investment AB|7 Feman Entreprenad AB
Cirk-EL Stockholm AB,5590608674,2,47,Häggmark; Jim Whilliam,1,2,Cirk-EL Stockholm AB
MGH Entreprenad Aktiebolag,5564269636,nan,nan,Hederstedt; Lars-Göran Gunnar,2,3,PB Reconstruction AB|Hedera Trädgårdsanläggningar Aktiebolag
Yabado Sweden AB,5592083603,3,53,Jakobsson-Gemicke; Joakim Melker,4,6,STHLM D.C. AB|OMGD Sverige AB|Yabado Stockholm AB|Yabado Sweden AB
S&A Alamäki AB,5590862941,2,31,Alamäki; Atte Olavi,2,0,S&A Alamäki AB|Mauris AB
Kenneth Lindell Invest AB,5567042030,2,51,Lindell; Dick Kenneth,4,30,Bruske/Delér Fönsterrenoveringar AB|S Lindell Business Partner AB|GulSvart Invest AB|Kenneth Lindell Invest AB
Cabala Group AB,5569826000,2,37,Cabala Munoz; Juan Pablo,5,1,Plusgrader AB|Plusgrader Holding AB|Bostadsrättsföreningen Södra Polhem i Järfälla|Cabala Group AB
Havspuls AB,5566602933,2,55,Axelsson; Ronny Stefan,1,9,Havspuls AB
Westers Elektriska AB,5591834493,3,33,Wester; Morgan Björn Ruben,1,1,Westers Elektriska AB
Westers Elektriska AB,5591834493,3,33,Wester; Katja Susanna,1,1,Westers Elektriska AB
MALPA BYGG AB,5591769251,3,51,Murawjöff; Pavel,2,1,MALPA BYGG AB|Skandbuild AB
EL Buzo AB,5590752886,2,37,Buzo; Dzmitry,1,0,EL Buzo AB
Boet Bostad Fotbollen 1 AB,5591457162,3,54,Grumme; Jonas Henrik Ferdinand,30,16,Maleviks Kakhus AB|Särö Centrum AB|Kungsbacka Varla 2:436 AB|Åbro Företagspark AB|Söderberg Fastighetsförvaltning AB|Boet Bostad Utveckling AB|Gröna Skolfastigheter Kungsbacka 6:30 AB|Boet Bostad Holding AB (publ)|Boet Bostad Produktion AB|Boet Bostad AB|Gröna Skolfastigheter Skövde Ventilen 1 AB|Gröna Skolfastigheter AB (publ)|Värsnäs Park AB|Boet Bostad Projekt 2 AB|Boet Bostad Projekt 33 AB|Boet Bostad Projekt 32 AB|Norrköping Kalmar Projekt AB|Boet Bostad Guldskrinet AB|Gröna Skolfastigheter Projekt AB|Mellanbolag Ventilen 1 Skövde Holding AB|Ventilen 1 Skövde Holding AB|Boet Bostad Projekt 31 AB|Boet Bostad Kvibergs Park AB|Boet Bostad Intressent AB|Boet Bostad Projekt 3 AB|Gröna Skolfastigheter Förvaltning AB|Gröna Skolfastigheter Utveckling AB|Boet Bostad Fotbollen 1 AB|Gröna Skolfastigheter Mellanbolag 2 AB|Skogshyddans Montessoriförskola Ekonomisk förening
Propeller Design Hub AB,5569434276,4,46,Lundbäck; Erik Andreas,4,3,Alaska Film&TV AB|Propeller Design AB|Propeller Design Malmö AB|Propeller Design Hub AB
Modernt Byggcentrum MBC AB,5591447098,2,27,Saydakhmatov; Ulugbek,1,0,Modernt Byggcentrum MBC AB
Elektrosignal Invest Sthlm AB,5590100045,3,50,Aspelin; Urban Olav,17,15,Elektrosignal Infra Sthlm AB|Elagent Stockholm AB|Infra El Sthlm AB|Infra Produkter Sthlm AB|AB Solviksgården|Klockarfjället Mark AB|J.I.F.F. AB|Teknikagent Sverige AB|Företagsagent Sverige AB|Klockaren Vemdalen Holding AB|Urbmami AB|Elektrosignal Invest Sthlm AB|Gaffelriggen Holding AB|Solviksgården 2 AB|Bostadsrättsföreningen Solviksgården|Företagsagent Sverige Holding AB|TEOCHTR HOLDING AB
Blueprint AB,5562680255,2,78,Nilsson; Hella Helena,1,2,Blueprint AB
Michael Sundbom Teknikkonsult AB,5591214860,2,60,Sundbom; Kurth Gunnar Michael,2,4,Michael Sundbom Teknikkonsult AB|Michael Sundbom Invest AB
I & T Markservice AB,5563536449,2,52,Pilskog; Annette Margareta,1,1,I & T Markservice AB
SWEAWA BYGG ENTREPRENAD AB,5591967384,2,40,Fendy; Hussain,1,1,SWEAWA BYGG ENTREPRENAD AB
Bäverdammen Fastighet & Förvaltning AB,5591322234,1,72,Hielm; Tommy Vilhelm Leonard,1,20,Bäverdammen Fastighet & Förvaltning AB
Matrix Sales AB,5592071434,4,55,Christensen; Thomas,1,0,Matrix Sales AB
Ekholmen Bostad AB,5591345441,3,58,Palmbäck; Erik Gustav,2,2,Ekholmen Bostad AB|Olof Palmbäck Aktiebolag
Ekholmen Bostad AB,5591345441,3,58,Palmbäck; Ylva Ulrika Elisabet,2,0,Ekholmen Bostad AB|Olof Palmbäck Aktiebolag
Wallerstedt Öberg Eidsaunet AB,5590467436,4,56,Wallerstedt Öberg; Anna Elisabeth,3,0,Living Work Lab AB|Wallerstedt Öberg Eidsaunet AB|Spectrum arkitekter AB
M.M Home AB,5591068738,2,36,Halldén; Magnus Olof,2,3,M.M Home AB|M.M Gruppen Stockholm AB
M.M Home AB,5591068738,2,36,Lindgren; Marie Therese,2,3,M.M Home AB|M.M Gruppen Stockholm AB
Hovdedalen Holding AB,5590429808,3,51,Söderblom; Jon Nils Robert,7,13,Hovdedalens Mark- och Vägexploateringsaktiebolag|Staffing Facility Management i Stockholm AB|Staffing i Stockholm AB|Maximus Selective Wears Aktiebolag|Peak Capital i Stockholm AB|Hovdedalen Holding AB|Lilla Skutvikens bryggförening ek. för.
Mästarna 4U Bygg & Städ AB,5591612832,2,30,Pashkovskyi; Ivan,2,2,Bratskiy Bil AB|Mästarna 4U Bygg & Städ AB
Fjällinvesteringar i Sverige AB,5590021092,3,56,Pålsson; Bengt Markus,12,8,SBC Fastighetsservice i Stockholm AB|ÖSTERÅKERS BOSTADSRÄTTSFÖRVALTNING Aktiebolag|SBC Betaltjänster AB|MSPN Konsult AB|Drive In AB|Byggrätt BRAB AB|SBC Mark AB|Bobacken Consulting AB|Liljeholmsberget Aktiebolag|SBC Bostad Åtta AB|Fjällinvesteringar i Sverige AB|SBC Bostad Sju AB
Movesta Hem AB,5592236086,3,30,Brännmark; André Alexander,5,8,Movesta AB|AWMA AB|Movesta Hem AB|Movesta Finans AB|Movesta Hem II AB
PACDES NORDIC GROUP AB,5568908064,1,40,Anwar; Adeel,4,2,Mälar Transportation Services|PACDES NORDIC GROUP AB|Nordic Transportation and Logistic Services AB|Dwell Eco Ekonomisk förening
KP Partner AB,5591102552,4,43,Olsson; Anders Christer,3,7,Mätkonsult Sverige Aktiebolag|Olsson Group AB|KP Partner AB
Theorell Bostad & Ombyggnad AB,5592093966,2,54,Vargas Theorell; Carmela Socorro,1,4,Theorell Bostad & Ombyggnad AB
Fastighetsbolaget Th. Svärd & Son AB,5568075179,2,59,Nordberg; Kim Douglas,5,6,Målarprinsen AB|Tumba Hudvård AB|Detektivtjänst Sverige Handelsbolag|Bostadsrättsföreningen Dammsugaren 1|Fastighetsbolaget Th. Svärd & Son AB
Blixthuset Stålhallar AB,5591720551,3,41,Ling; Fredrik,12,6,Lingco Holding AB|Smidesbyggarna i Högdalen Aktiebolag|Libro Stålteknik AB|M.L. Smide Verkstads Aktiebolag|R.E. Snabbsmide Aktiebolag|Byggnadssmide i Bandhagen AB|Karl Bengtssons Smide Aktiebolag|Lingco Fastigheter AB|Blixtljuset Invest AB|Granhammar 32 AB|Såsta 34 AB|Blixthuset Stålhallar AB
Blixthuset Stålhallar AB,5591720551,3,41,Ling; Andreas,12,4,Lingco Holding AB|Smidesbyggarna i Högdalen Aktiebolag|Libro Stålteknik AB|M.L. Smide Verkstads Aktiebolag|R.E. Snabbsmide Aktiebolag|Byggnadssmide i Bandhagen AB|Karl Bengtssons Smide Aktiebolag|Lingco Fastigheter AB|Blixtljuset Invest AB|Granhammar 32 AB|Såsta 34 AB|Blixthuset Stålhallar AB
Prefekten AB,5590187091,4,48,Ärlebrant; Jens Axel Leon,6,16,Projektstaben i Sverige AB|Swepro AB|El Cap 1967 AB|Marcello AB|Prefekten AB|Senator Sverige AB
MT Kalkyl AB,5592120215,2,31,Tabagoua; Michail,1,1,MT Kalkyl AB
SKBA BYGG AB,5590487095,2,55,Toshev; Temur,3,4,ASAD Entreprenad AB|SKBA BYGG AB|Tim Rent AB
YEM Sverige AB,5590660964,2,36,Yussuf; Wehabrebi Abdelaziz,1,1,YEM Sverige AB
YEM Sverige AB,5590660964,2,36,Abdelaziz; Ekram Wehabrebi,1,0,YEM Sverige AB
Qaizen Sverige AB,5592061971,4,42,Skarin; Anders Martin,1,1,Qaizen Sverige AB
WAADE Balance AB,5591823827,4,47,Skogsjö; Hans Fredrik,8,2,WAADE Consulting AB|WAADE Holding AB|WAADE Society AB|AS-Plan AB|WAADE Environmental AB|WAADE Göteborg AB|WAADE Balance AB|WAADE Holdcon AB
Fastighetsteknik i Roslagen AB,5590989090,3,62,Svensson; Per Arne,6,3,Rentmarket i Norrtälje AB|Aldéns EL AB|Teknikexperten i Stockholm AB|Team Teknik & Event i Sälen AB|Marsom Fastighet AB|Fastighetsteknik i Roslagen AB
Douglas Ebbersten Måleri AB,5591484885,2,59,Ebbersten; Johan Douglas,1,1,Douglas Ebbersten Måleri AB
NB Invest AB,5590001458,2,56,Berg; Bo Niklas,4,1,Personlig Svarsservice Sweden AB|Global Communication Management (GCM) AB|RINI Gruppen AB|NB Invest AB
GGSP Entreprenad AB,5592100803,3,41,Gigauri; Gurami,1,0,GGSP Entreprenad AB
GGSP Entreprenad AB,5592100803,3,41,Prodanciuc; Sergiu,1,1,GGSP Entreprenad AB
Nordic Transportation Advisory AB,5591354633,2,54,Landell; Anders Henric,1,1,Nordic Transportation Advisory AB
Albvil Förvaltning AB,5591109441,4,45,Lindberg; Astrid Caroline,2,1,Bostadsrättsföreningen Sillpackaren|Albvil Förvaltning AB
fan AB,5591885966,2,57,Öhman; Carl Hampus,4,1,Gwynn AB|ConnectIT Stockholm AB|Min Balans AB|fan AB
AMCA Entreprenad AB,5591835003,2,37,Mayhoub; Ala,5,0,HSB bostadsrättsförening Aspnäs i Järfälla|HSB Bostadsrättsförening Silverskatten|AMCA Entreprenad AB|The DnD Store AB|HSB Bostadsrättsförening Trim i Järfälla
Lilla Hellberga AB,5591785059,5,38,Hellberg; Mats Fredric,2,5,Lilla Hellberga AB|Carinas Medicinska Fotvård AB
Lilla Hellberga AB,5591785059,5,38,Hellberg; Carina,5,7,Carinas Medicinska Fotvård AB|Frojo Investment AB|Lilla Hellberga AB|Abersoft Technologies AB
Kamelia Projektbolag 1 AB,5591568604,4,36,Mörndal; Jakob Magnus,9,17,Footway Group AB|Servistore AB|Gaumarjos Vin AB|Växjö Teleborg Hallonbacken AB|Kamelia Samhällsfastigheter AB|Kamelia Sannaängen AB|FolkBo Sverige Studio AB|Kamelia Projektbolag 1 AB|FolkBo Sverige AB
Viklunds bygg och måleri Stockholm AB,5591258867,2,38,Viklund; Nataliya,2,5,Viklunds bygg och måleri Stockholm AB|Viklunds Städ i Sverige AB
PREFAB Stockholm AB,5569824781,2,59,Samuelsson; Claudia,1,5,PREFAB Stockholm AB
SMA Infrastruktur AB,5592076458,4,57,Hansson; Lars Henrik,16,19,Kungsbacka Lastbilcentral AB|VIAVEST AB|Västkustens Mark & Asfalt AB|Strand i Jönköping AB|Tjällmo Grävmaskiner Aktiebolag|Viavest Maskin AB|Tångabergs Schakt Aktiebolag|SweGrund Aktiebolag|Thyras Aktiebolag|Sten & Markteknik i Jönköping AB|Kungsbacka Lastbilcentral Fastighets              Aktiebolag|Transportcentrum i Kungsbacka AB|Kandinen AB|Viavest Miljö AB|Kungsbacka Lastbilscentral Ekonomisk förening|SMA Infrastruktur AB
SMA Infrastruktur AB,5592076458,4,57,Alexandersson; Carl Christoffer,17,6,Bodén Mark & Anläggning i Mälardalen AB|Ockelbo Kabelteknik AB|Tjällmo Grävmaskiner Aktiebolag|Svenska Mark- och Anläggningsgruppen i Stockholm  AB|Tobbes Schakt AB|Svenska Mark-och Anläggningsbolagen i Syd AB|Andreasson & Lindh Entreprenad AB|Ekängen Bygg & Mark AB|Westins Maskin AB|JMR-Entreprenad AB|HJ Hydraulik Aktiebolag|Perssons Schakt i Mitt AB|Svenska Mark- och Anläggningsbolagen i Kungsbacka AB|FUTURISTAS AB|Svenska Mark- och Anläggningsbolagen i Öst AB|Svenska Mark och Anläggningsbolagen Återvinning AB|SMA Infrastruktur AB
Husby Gård & entreprenad AB,5591917819,3,53,Andersson; Lars-Göran,1,2,Husby Gård & entreprenad AB
Husby Gård & entreprenad AB,5591917819,3,53,Andersson; Lars Åke,1,0,Husby Gård & entreprenad AB
Ambra Hope AB,5592045933,2,49,Di Schiena; Raffaello Olof,2,6,Ambra Hope AB|Ln Hope AB
DEAB Invest AB,5560548025,2,62,Danielsson; Bengt Jonas Gustaf,8,18,Bostadsrättsföreningen Loket 35-36|R. Manerowski Bygg AB|Danielssons Entreprenad Aktiebolag DEAB|Danielssons Invest AB|DEAB Projektfastigheter AB|DEAB Holding AB|Hans Bengtsson Lås-City Aktiebolag|DEAB Invest AB
Sand Arkitektur AB,5590913579,2,46,Mandre; Knud Stefan Benjamin,2,3,HOW Arkitekter AB|Sand Arkitektur AB
M.Carlsson Consulting AB,5568130271,2,49,Karlsson; Carl Magnus,1,1,M.Carlsson Consulting AB
SB Stefan Björk electro AB,5569488801,2,43,Björk; Rolf Stefan,2,1,SB Stefan Björk electro AB|Embee Softworks AB
Holmstaden Fastighetsutveckling AB,5591207393,3,39,Senkal; Donnie Andreas,12,14,Clustera Sverige AB|Maison Partners AB|Work Hunters AB|Archi Light AB|Maison Bostäder II AB|Maison Koncernen AB|Maison Bostäder AB|Maison Fastighetsutveckling II AB|Maison Fastighetsutveckling AB|Inkludera Flera AB|Vive Maison AB|Holmstaden Fastighetsutveckling AB
Å Fastighetsutveckling AB,5591124796,3,56,Boross; Patricia,2,2,Å Fastighetsutveckling AB|WROSS
MIRATOR AB,5591049746,2,37,Shala; Mentor,1,5,MIRATOR AB
D3 Management AB,5563077055,3,51,Lundquist; Bengt John Richard,4,2,D3 Projekt AB|ETL Telecom AB|D3 Telecom AB|D3 Management AB
D3 Management AB,5563077055,3,51,Ekblom; Lars Stefan,5,5,D3 Projekt AB|D3 Construction AB|D3 Telecom AB|Bostadsrättsföreningen Las Vega|D3 Management AB
Lisa Grape Interior Design AB,5569906760,2,42,Grape; Lisa Nellie Carolin,4,2,Andreas Grape Invest AB|Lisa Grape Interior Design AB|Rekommenda Servicepartner AB|Great Grape AB
Bergmans Gräv & Anläggning AB,5591800304,2,44,Svanström; Lars Rolf Sture,1,2,Bergmans Gräv & Anläggning AB
Södersvik Arkitekturproduktion AB,5569502064,2,51,Johansson; Rolf Anders,2,2,Södersvik Arkitekturproduktion AB|Anders Johansson Arkitekturstudio
Jemmila AB,5569805970,2,46,Aden; Faduma Jama,1,0,Jemmila AB
H. Standard Projektutveckling AB,5569659583,2,53,Baghlani; Joseph,1,2,H. Standard Projektutveckling AB
Göte Dahlin Konsult AB,5566375217,2,73,Dahlin; Göte Gunnar Emanuel,1,15,Göte Dahlin Konsult AB
Pionova AB,5569358202,2,48,Sundqvist; Patrik Karl Erik,1,1,Pionova AB
Cuper Service AB,5566412994,2,62,Fröberg; Erik Olof,48,67,Sinch AB (publ)|Neqst 2017 AB|Neqst Investment AB|XLENT Aktiebolag|RP1 Holding AB|DR1 Holding AB|Digital Route AB|Varnish Software AB|XLENT Consulting Holding AB|Differ Strategy Consulting AB|Differ Sverige Holding AB|Neqst Services AB|Solgarda AB|Cybernetics International AB|Neqst 2 AB|DR2 Holding AB|Neqst 1 AB|Neqst 4A AB|Neqst 3 AB|Cybernetics Holding AB|Hemverket Intressenter AB|VS Holding AB|V1 Holding AB|RP4 Holding AB|RP5 Holding AB|HDRI Sweden AB|HD1 Holding AB|HD2 Holding AB|XL10 Holding AB|XL9 Holding AB|Carmenta Intressenter AB|XL8 Holding AB|XL7 Holding AB|Cuper Service AB|Neqst Investment 2020 AB|Neqst D2 AB|XLENT Differ Newco AB|RP6 Holding AB|Neqst CL1 AB|Neqst Investment 4A AB|VS2 Holding AB|Sundaskären 2 AB|DR3 Holding AB|RP7 Holding AB|Neqst D4 AB|Neqst D1 AB|Neqst 2020 AB|Sundaskären AB
Gamla Enskede Inredning Aktiebolag,5569097222,4,51,Berggren; Per-Erik,6,1,Mod:group Holding AB|Posh Living Aktiebolag|Mod:g construct AB|Mod:g Service AB|Gamla Enskede Inredning Aktiebolag|Bostadsrättsföreningen Spaden 1
Gamla Enskede Inredning Aktiebolag,5569097222,4,51,Åkerblom; Nils Emil,6,9,Mod:group Holding AB|Mod:g construct AB|Mod:g Service AB|Mod:g develop AB|Gamla Enskede Inredning Aktiebolag|Bostadsrättsföreningen Stora Gungan
Sartz Gruppen AB,5568301195,3,46,Sartz; Robert Håkan Roland,2,2,Bostadsrättsföreningen Djurgårdseken 9|Sartz Gruppen AB
Ropson AB,5567373476,2,47,Olsson; Per Anders,3,6,Fablebit AB|Ropson produktion|Ropson AB
Mellansjö EL AB,5569946642,2,61,Friis; Lars Johan,5,0,Friis; Johan EL AB|Bostadsrättsföreningen Nacka Företagsby|Rapsfjärilen 5 AB|Mellansjö EL AB|Åkerliden Holding AB
678 Creative Sweden AB,5592067044,2,54,Chambers; Martin Stephen,1,1,678 Creative Sweden AB
Lidingö Konsulting AB,5568444706,2,62,Spånér; Håkan Ragnar,2,6,Bostadsrättsföreningen Bele|Lidingö Konsulting AB
DYOL BYGG GRUPP AB,5591746242,3,49,Brui; Dzmitry,2,1,Dimanto premium grupp AB|DYOL BYGG GRUPP AB
2 Life AB,5590223227,3,69,Persson; Bengt Peter Jörgen,3,2,2 Life AB|FF Engage AB|FF Profilreklam AB
Aktiebolaget Westerbergeffekten,5562769009,2,68,Westerberg; Ann Barbro Filippa,3,7,Annitor|Via Rio Aktiebolag|Aktiebolaget Westerbergeffekten
