company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Ripman Design AB,5590406046,2,69,Gerger; Bengt Patrik,3,15,Lexsol AB|Ripman Design AB|Bostadsrättsföreningen Kv Navaren; Industristaden AR
Kåbo Bygg & Hantverk AB,5590206628,2,30,Vahanyan; Artur,1,0,Kåbo Bygg & Hantverk AB
CGDS Invest AB,5591955199,3,64,Schullström; Håkan Hans Tage,6,4,NorCare Living Quality AB|EMS VacParts AB|Larome Breed Handelsbolag|EMS-Företagshus AB|HMS Contrade AB|CGDS Invest AB
CGDS Invest AB,5591955199,3,64,Schullström; Carl Gustav Daniel,2,3,CGDS Invest AB|Larome Breed Handelsbolag
Sommaridyll AB,5590213582,2,50,Svanqvist; Henrik Nils Anders,6,31,TMPL Solutions AB|Fastighetsbolaget Bol 3:14 AB|Green Bridge Development AB|Tmpl Work AB|Rosendal Bostäder D AB|Sommaridyll AB
Stark Mark i Sverige AB,5567690911,2,51,Ohlsson; Kenneth Gustav Denniz,4,11,Sten-Vid Aktiebolag|Birkaporten AB|Kenceo AB|Stark Mark i Sverige AB
Derome Hus AB,5562509223,5,50,Mossbrant; Peter Karl,110,164,Derome Aktiebolag|Derome Byggvaror & Träteknik Aktiebolag|Derome Timber Aktiebolag|Derome Skog Aktiebolag|Derome Hus AB|Derome Husproduktion AB|IMAB Hallands Industrimaterial Aktiebolag|Derome Förvaltning Holding AB|Nässjö Takstolsfabrik AB|Derome Byggvaror Alvesta AB|B M S i Hässleholm Aktiebolag|Svensk Bygglogistik AB|Älvsåker Fastighetsförvaltning                    Aktiebolag|Derome Hyresfastigheter AB|Derome Moheda Järnhandel AB|Derome Fastighet AB|Varbergshägern Fastighets AB|Kjells Arbetskläder & Verktyg AB|Derome Bygg-& Industrivaror Gislaved AB|Madbo Fastighetsförvaltning AB|DBT Fastigheter AB|Pinnån Fastighetsförvaltning Aktiebolag|Granhall 9293 Fast 1 AB|DBT Fastigheter Syd AB|Getskär Fastighets AB|SEBACA Fastighets AB|MAX Förvaltnings AB|Hyllinge Parkby AB|Kilugglan Aktiebolag|Södra Näs Fastighetsförvaltning Aktiebolag|DBT Fastigheter Landskrona AB|Snöstorp Fastighets AB|Dressin Fastighet AB|Halmstad Fastighetsutveckling AB|DHP Fastigheter Kristinehamn AB|Vabränna Fastighets AB|Fastighets AB Maja|Logistikpatrullen AB|Derome Vindkraft AB|Pronord Aktiebolag|LJA Real Estate AB|Derome Mälardalen Fastighet AB|ÖstraLång AB|Aktiebolaget Maa Såg|Snidaren 14 AB|Ullarpstomter AB|Spånan Fastighetsförvaltning Aktiebolag|Järngeten AB|Hammarsmedsgatan Fastighets AB|Charleshill Fastighet AB|Kinnared Skog Aktiebolag|Hajland Fastighetsaktiebolag|Åsby Handel AB|Derome Skogsfastighet AB|Granhall 93 Fast AB|Stadsskogsparken Fastighets AB|Gunnilse Centrum Aktiebolag|Havskanten 3 AB|Bro Mälarstrand 21 AB|Bro Mälarstrand 23 AB|Mark & Försäkringspartner i Halland AB|Sjölärkan Bostad AB|Ideella föreningen Varbergs Fastighetsägare-      förening med firma Föreningen Fastighetsägarna|Tattarkullen Fastighets AB|Frillesås Fastighets AB|Bike Fastighetsförvaltning AB|Granhall 9327 AB|Granhall 9342 AB|Fastighetsbolaget Silkesvägen AB|Granhall 93 AB|Granblad 20 AB|Kungsgranen 19 AB|Granhall 9293 Fast 2 AB|Derome JVHM AB|Fridbo Fastighetsförvaltning AB|Granbarr 115 Fast 3 AB|Bro Mälarstrand 27 AB|Charleshill Svarttall AB|Högmora Exploatering 2 AB|Derome Takstolar AB|Derome Charleshill Fastighet AB|Derome & Peritum Bro 2 AB|Granhall Rulta fyra AB|Derome Hus Holding 25 AB|Fastighetsbolaget Forsa Gård AB|Sjölärkan Holding AB|Granskott 9370 AB|Mariefredaren AB|KAJB i Falkenberg AB|Dressin Fastighetsinvest AB|Anchora Invest AB|Kungsgranen 19 Fast 2 AB|Derome & Peritum Utveckling Täljöviken 2 AB|Derome Hold JV AB|BoMalmen i Varberg AB|D&P JV Fyra Proc AB|Granhall 9293 Fast 3 AB|Hede Fast 2 AB|Granbarr 115 Fast 2 AB|Hede Fast 1 AB|Kungsgranen 20 AB|Granhall 9293 AB|Kungsgranen 20 Fast 1 AB|Kungsgranen 20 Fast 3 AB|Derome JVM AB|Derome & Peritum Bro 1 AB|Bro Mälarstrand 25 AB|Granbarr 115 Fast 1 AB|Derome Maskinuthyrning AB|Drottninggranen AB
Hancap AB (publ),5567897144,3,46,Blomquist; Roger,8,22,Hancap AB (publ)|SeaWing PBB AB|Kan Fönster Sverige AB|Helge Jung Fastighets AB|Rehact AB|CreMed AB|Massive Management AB|IEFAG International Entrance and Facade Group AB
MTA Bygg & Anläggning Halland AB,5567944847,4,52,Granberg; Claes Andreas,30,25,MACNAT Holding AB|MTA Bygg & Anläggning Halland AB|MTA Bygg & Anläggning Skåne AB|MTA Maskin AB|Halmstad Vårdboende AB|MTA Bygg & Anläggning i Varberg AB|Kävlinge Vårdboende AB|Eirhem AB|Båstad Tuvelyckan AB|Båstadlyckan Fastighets AB|Båstads Communicationscenter AB|Trelleborg Vårdboende AB|MTAF nr 15 AB|Varberg Vårdboende AB|Midhem Projektutveckling AB|Varberg Trygghetsbostäder AB|MTAF nr 30 AB|MTAF nr 20 AB|MACNAT Construction AB|Expressgrus i Halmstad AB|MTAF nr 31 AB|MTAF nr 12 AB|MTAF nr 32 AB|MACNAT Property Development AB|Mölnlycke Vårdboende AB|MatsTommyAndreas Fastighets AB|MACNAT Property AB|Båstad Vårdboende AB|Falkenberg Vårdboende AB|MTA Trollängen Holding AB
Peterson & Hansson Byggnads AB,5560891839,6,55,Nilsson; Gert Tony,8,3,Peterson & Hansson Byggnads AB|Peterson & Hansson Holding AB|Frenova El AB|B.K. 1101 Invest AB|Dinens AB|Onatopp in west AB|Falkenberg Murarelyckan 1:1 AB|STUF AB
AF Bygg Syd AB,5561789313,4,48,Persson; Karl Anders Roger,1,16,AF Bygg Syd AB
Tage & Söner i Varberg AB,5561582536,4,62,Strömberg; Erik Stefan,2,2,Tage & Söner Byggnads AB|Tage & Söner i Varberg AB
