company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Rental Design Sweden AB,5591313993,4,39,Eriksson Hammarstrand; Anna Märtha U,4,7,Bältergården AB|P-P Entreprenad Aktiebolag|Rental Design Sweden AB|Bälterbacken AB
Dolfsson AB,5568077399,2,49,Adolfsson; Kalle Richard,1,0,Dolfsson AB
Lisa's Bergsprängning AB,5567746267,2,45,Nilsson; Catharina,3,1,Lisa's Bergsprängning AB|Laddkäppen AB|Tippakulla Lantbruk
Triton Marketing Aktiebolag,5560491374,3,79,Jonsson; Jan Erik Gustaf,1,0,Triton Marketing Aktiebolag
Studio 2 X B Aktiebolag,5563105013,2,70,Bacos; Michael Henning,1,0,Studio 2 X B Aktiebolag
Anderssons Bygg & Entreprenad AB,5569608937,2,38,Andersson; Cecilia Elisabeth Louise,2,5,Anderssons Bygg & Entreprenad AB|Anderssons Bygg & Inredning
Svennberg Ingenjörsbyrå AB,5568994783,4,41,Svennberg; Anna-Karin Kaisa,1,3,Svennberg Ingenjörsbyrå AB
Apéll TH Kungsbacka AB,5591574867,3,57,Apéll; Marie Heléne Victoria,1,3,Apéll TH Kungsbacka AB
Apéll TH Kungsbacka AB,5591574867,3,57,Apéll; Olof Daniel,1,4,Apéll TH Kungsbacka AB
IP-Group Logistic Solutions AB,5562959253,2,49,Josefsson; Sam Tobias,3,5,IPG Intelligent Packaging Group AB|IP-Group Logistic Solutions AB|JOCERU Holding AB
Lassekärr Fastighet AB,5563065480,3,44,Andersson; Gert-Inge Roland,1,1,Lassekärr Fastighet AB
Nordens Hem Interiör & Design AB,5569491540,2,44,Shabashova; Sofia,1,1,Nordens Hem Interiör & Design AB
AEME Consulting AB,5590292065,2,44,Eriksson; Anders Emanuel,1,3,AEME Consulting AB
JODB AB,5563438356,2,72,Lood; Jan-Olof,2,5,JODB AB|Västgötarör AB
Riv och Tungdemolering i Väst AB,5569187924,4,48,Ljungqvist; Mathias Claes Håkan,1,0,Riv och Tungdemolering i Väst AB
Småfix Halmstad AB,5569003030,2,44,Britton; Craig Edward,1,1,Småfix Halmstad AB
Småfix Halmstad AB,5569003030,2,44,Britton; Hanna Sofia,1,1,Småfix Halmstad AB
Halobid Aktiebolag,5564654720,3,57,Magnusson; Dan Åke,2,6,Halobid Aktiebolag|Octean AB
Malenco AB,5566725296,2,62,Malén; Kim Christoffer,1,0,Malenco AB
Frösakull Seniorboende i Halmstad AB,5568645823,2,74,Palmqvist Johansson; Lena Birgitta,2,1,I Johansson Halmstad AB|Frösakull Seniorboende i Halmstad AB
Hampf Industridesign Aktiebolag,5561486548,4,66,Hampf; Jan-Edvin Hjalmar,3,2,Handelsbolaget Residencia|Hampf Förvaltnings Kommanditbolag|Hampf Industridesign Aktiebolag
Samster Installation AB,5569796815,3,46,Steier; Carl Vilhelm,4,9,Samster AB|Nexion Enertech AB|Steierpump AB|Samster Installation AB
Volt Elektro AB,5590784095,2,34,Larsson; Jakob Jonas Niklas,1,1,Volt Elektro AB
Ahlqvist Invest AB,5567350144,2,45,Ahlqvist; Kent Ove,2,4,Ahlqvist Invest AB|Effective Connection Sweden AB
MB Gipsputs AB,5566374202,2,51,Bengtsson; Mikael Johannes,1,7,MB Gipsputs AB
Ulriksforsfastigheter AB,5567254528,4,43,Hansson; Torgny Egil,5,7,Duopart AB|Isholtsten Kommanditbolag|Ulriksforsfastigheter AB|Tegelmöllan AB|Sjönefastigheter AB
Brixly Bygg AB,5564339041,3,46,Brink; Erik Markus,31,55,Brixly AB|Fide Group AB|Lars Jönsson Byggtjänst Aktiebolag|Johan Davidsson Bygg & Entreprenad AB|Brixly Bygg i Örebro AB|Erlandsson Bygg i Bohuslän AB|Fastighetsaktiebolaget Gatan|Wedels Fastigheter AB|Brixly Projektutveckling i Bohuslän AB|Brixly Bygg AB|BR Fastigheter AB|Brixly Projektutveckling i Halland AB|Reiner Bergmans Bygg Aktiebolag|Bohusbyggarna Aktiebolag|Br Brink Real Estate AB|Bostadsrättsföreningen Kanallyckan|Bryllo AB|Hammerö Fastighets AB|Linbri AB|Byggnadsfirman Mattsson & Nilsson Aktiebolag|Frillesås Projektutveckling AB|Lyrage AB|Fastigheten Frillesås 4:10 AB|BRIXLY Projektutveckling AB|Kanallyckan i Vänersborg AB|CCBrink AB|Fastigheten Rya 4:17 AB|Projektutveckling Röseberget AB|Erlandsson Projektutveckling i Väst AB|Almedal AL AB|Rågelundsfastigheten AB
EnBW Sverige AB,5591328884,3,51,Dalgaard Miltersen; Mads,2,3,EnBW Holm Vind AB|EnBW Sverige AB
Stenbiten Förvaltning i Varberg AB,5560577149,2,49,Olsson; Håkan Fredrik,18,7,Häger Bo AB|Ringsegård Fastighets AB|Centrumfastigheter i Varberg Aktiebolag|Rankagården Bo AB|Sjöblomman AB|Platsarna AB|Rankagården AB|Smidestången AB|Aktiebolaget Getakärr|Industrifastigheter i Varberg AB|LFF Klockaren 7 AB|Stenbiten Förvaltning i Varberg AB|Grafen i Varberg AB|Himle Fastighets AB|Bostadsrättsföreningen Malmen|Lindebergs ff AB|Lindebergs Parkering AB|Värö-Backa 11:234 Halland AB
Property Advisors Nordic AB,5566883491,3,48,Nagel; Jens Christoph,1,11,Property Advisors Nordic AB
Wiktorp Konsult & Trading AB,5568649700,2,73,Wiktorp; Karl Johan Gunnar,1,1,Wiktorp Konsult & Trading AB
Wandel Consulting AB,5569096331,2,58,Wandel; Sten Erik Ture,3,8,Omniloop AB|Secure Logistics Sweden AB|Wandel Consulting AB
MJ Väst AB,5565254751,2,48,Johansson; Marcus David Mikael,4,1,Veako AB|MJ Väst AB|Veako Civil AB|Veako Holding AB
Fajantomter Aktiebolag,5561716068,3,68,Hansson; Johnny Ingemar,29,20,Peterson & Hansson Byggnads AB|Peterson & Hansson Holding AB|BCAC Brf Fastighet 2 AB|BCAC Lägenheter AB|Spiran 4 Falkenberg AB|BCAC - Hus Förvaltning AB|Schubergstorp 15 Falkenberg Fastighets AB|BCAC 3D AB|Falkenbergsdikaren Fastighets AB|BCAC Brf Fastighet 1 AB|ABJ i Falkenberg AB|Fajantomter Aktiebolag|BCAC Brf Fastighet 4 AB|BCAC Brf Fastighet 3 AB|Fastighets AB Schubergstorp 17|BCAC Brf Holding 3 AB|BCAC Brf Holding 4 AB|BCAC Brf Holding 2 AB|BCAC Brf Holding 1 AB|Bostadsrättsföreningen Bacchus 4|BCAC Brf-ägare 3 AB|BCAC Brf-ägare 2 AB|Falkenbergs Fotbollsintressenter AB|BCAC Brf-ägare 1 AB|Peterson & Hansson Invest AB|Allan AB|Falkenberg Murarelyckan 1:1 AB|JBL Projektering AB|Bostadsrättsföreningen Bacchus 7
House Of Business in Sweden AB,5567390876,2,41,Edsjö; Jeanette Christina,3,3,House Of Business in Sweden AB|J E Publishing & Design AB|nan
Borrproduktion Grundläggning KBA AB,5590702022,3,56,Eriksson; Henrik Micael,4,1,HE: Borrproduktion Grundläggning Aktiebolag|Borrproduktion Grundläggning KBA AB|BR Borrproduktion Maskin AB
Tirén i Kungsbacka AB,5568098973,4,56,Tirén; Ingegerd,1,0,Tirén i Kungsbacka AB
TechHouse of Sweden AB,5590396726,2,71,Lundby; Karl Mikael,9,13,NMT Bostäder AB|Lundby Entreprenad AB|Brune Kulle Fastighets AB|Bröderna Lundby Bygg AB|TechHouse of Sweden AB|Vallmovägen Fastighets AB|Lundby Holding AB|Luntor AB|Bingevägen Holding AB
Vindbruk Halland AB,5567616981,6,60,Pedersen; Carl-Arne,10,14,Bliekevare Nät AB|WIND-SWEDEN AB|Varbergsvind ekonomisk förening|Röbergsfjället Nät AB|CAPEM AB|Vindbruk Halland AB|Lindeblad & Palmqvist Holding AB|Svensk Vindkraft AB|OFFSHORE WIND-SWEDEN AB|Okome Vind AB
PARNAX Aktiebolag,5568345499,2,57,Hedestad; Frost Carl Christian,1,3,PARNAX Aktiebolag
Alingsås Entreprenad AB,5568901531,2,50,Åberg; Bo Anders,5,12,Vestkust Entreprenad AB|JAAJ Invest AB|Alingsås Entreprenad AB|Vestkust Gruppen AB|Vestkust Byggservice AB
Freijd Byggadministration Aktiebolag,5563235448,2,71,Frejd; Lars Åke Lennart,1,1,Freijd Byggadministration Aktiebolag
Lars Ekeblad Projekt & Byggledning AB,5568695786,2,79,Ekeblad; Lars Ingvar,1,1,Lars Ekeblad Projekt & Byggledning AB
Annoying AB,5568615289,4,43,Ahlqvist; Eva Ulrika,6,1,Skårsgård Utenjut AB|Hjärnberikad AB|Wildwire AB|Annoying AB|Pink Lake AB|Giant Rock AB
Frontways Aktiebolag,5591139117,2,44,Norén; Per Niclas Vilgot,6,9,Flexbygg Sverige AB|ElitRehab Göteborg AB|Andiån Fastighets AB|Frontways Aktiebolag|Skolhuset i Växjö AB|Wenche Noren Sportphysio AB
Bäck Entreprenad AB,5567165195,3,50,Bäck; Pierre Morgan,10,4,Professional wireless Sverige AB|Freezing Fiber AB|Marktec Sweden AB|Kommanditbolag Bäckhuset|Trefas consulting Sverige AB|Bäckhuset AB|Bäck Service & Underhåll AB|Bäck Entreprenad AB|Bäck Holding AB|M Bäck Fastighetsförvaltning AB
S.B. Fastighets AB,5590149661,2,46,Bengtsson; Björn Simon,9,10,Halmstad Fartyget 3 AB|Villabostäder Halmstad AB|SBB Invest AB|Vallen i Halmstad Fastighets AB|Körkarlen AB|Smedäng 1 AB|CB Invest Halmstad AB|Allarp Fastighets. AB|S.B. Fastighets AB
Funvik Fastigheter i Göteborg AB,5592107881,2,43,Jansson; Ida Miranda,4,6,Peace Of Mind Pictures AB|JJ Cinematography AB|BoxOnRox Holding AB|Funvik Fastigheter i Göteborg AB
Allny Bygg AB,5592154842,2,39,Azarak; Hamid,1,0,Allny Bygg AB
Allny Bygg AB,5592154842,2,39,Zamani; Seyedeh Zahra,1,0,Allny Bygg AB
Torcat Kompletta Datanät AB,5565896221,2,64,Eriksson; Lars-Olof,2,10,Bostadsrättsföreningen Lorensberg Varberg 1|Torcat Kompletta Datanät AB
Åhlin & Ekeroth Byggnads AB,5566847926,6,57,Käller; Per Roger,6,8,Åhlin & Ekeroth AB|Åhlin & Ekeroth Byggnads AB|Total Entreprenad i Motala AB|Active-venture clothing Sweden AB|Åhlin & Ekeroth Invest AB|Käller Holding AB
Åhlin & Ekeroth Byggnads AB,5566847926,6,57,Lundström; Björn Göran,5,8,Åhlin & Ekeroth AB|Åhlin & Ekeroth Byggnads AB|Tillväxt Motala AB|Haga Vadstena AB|Åhlin & Ekeroth Invest AB
Åhlin & Ekeroth Byggnads AB,5566847926,6,57,Lönn; Joachim Sven Erik,4,7,Åhlin & Ekeroth AB|Åhlin & Ekeroth Byggnads AB|Total Entreprenad i Motala AB|Åhlin & Ekeroth Invest AB
ED Gruppen AB,5567826176,4,53,Demir; Eddy Edip,30,29,ED Gruppen AB|ED Bygg Sverige AB|Söderstaden I Östergötland AB|Söderköpings Brunn AB|Uthyrning i Norrköping AB|ED Byggteknik AB|Developing Design Sweden AB|Trehörningen AB|Söderköpings Brunn Fastighets AB|Ringdansen Hus 43 AB|Kv Växthuset 1 AB|S. Engelbrekt 11 i Söderköping AB|Blomängen fastighet AB|Kv Korpen 18 AB|S12 Fastighets AB|Kv. Lagberg AB|Blue Clams Holding AB|Sylten i Norrköping Fastighets AB|Söderstaden parkering AB|S. Vågen 1 i Söderköping AB|Villa Carona AB|Kv Sista Dansen 1 AB|Kv Sista dansen projekt AB|Bostadsrättsföreningen Sandtorp i Norrköping|Marinastaden Energy AB|Blå musslor Projekt AB|Blomängen Holding AB|Egendomen Blomängen AB|Kv Söderköping 2:42 AB|Bostadsrättsföreningen Höga Loftet 2
Svenska Entreprenad & Förvaltningsaktiebolag,5565423968,4,51,Johansson; Ronny Sören Gösta,2,7,RC Åtvidaberg AB|Svenska Entreprenad & Förvaltningsaktiebolag
ED Bygg Sverige AB,5564848918,4,53,Demir; Eddy Edip,30,29,ED Gruppen AB|ED Bygg Sverige AB|Söderstaden I Östergötland AB|Söderköpings Brunn AB|Uthyrning i Norrköping AB|ED Byggteknik AB|Developing Design Sweden AB|Trehörningen AB|Söderköpings Brunn Fastighets AB|Ringdansen Hus 43 AB|Kv Växthuset 1 AB|S. Engelbrekt 11 i Söderköping AB|Blomängen fastighet AB|Kv Korpen 18 AB|S12 Fastighets AB|Kv. Lagberg AB|Blue Clams Holding AB|Sylten i Norrköping Fastighets AB|Söderstaden parkering AB|S. Vågen 1 i Söderköping AB|Villa Carona AB|Kv Sista Dansen 1 AB|Kv Sista dansen projekt AB|Bostadsrättsföreningen Sandtorp i Norrköping|Marinastaden Energy AB|Blå musslor Projekt AB|Blomängen Holding AB|Egendomen Blomängen AB|Kv Söderköping 2:42 AB|Bostadsrättsföreningen Höga Loftet 2
Botrygg Bygg AB,5565026241,2,61,Cocozza; Carl Adam Michael,54,48,Botrygg AB|Botrygg Bygg AB|Botrygg Förvaltningsfastigheter AB|Botrygg Polygonen 2 AB|Hotellägenheter Sverige AB|Botrygg Örebro AB|Botrygg Älvsjö AB|Botrygg Förvaltning AB|Kallerstad Arena AB|Bilpark i Linköping AB|Botrygg Dynamon 5 AB|Botrygg Agronomen AB|Botrygg Arkivfotot 2 AB|Botrygg Lektorshagen AB|Botrygg Bajonetten AB|Initiativet 7E Intressenter AB|Botrygg Låsgången AB|AB Storvreta 3:87|Carpool Sverige AB|Botrygg Fastighetsutveckling AB|Botrygg Småhus AB|BoNest Fastigheter VRN AB|BoNest Roslags-Näsby Holding AB|Botrygg H73 AB|Linköping Alabastern 2 AB|AB Storvreta 46:21|Botrygg Sandtorp AB|Botrygg H80 AB|Botrygg H81 AB|Botrygg Jönköping AB|Linköping Intressenter AB|Botrygg H82 AB|Botrygg Stockholm Län Södra AB|Botrygg Investment AB|Botrygg Projektutveckling 1 AB|Botrygg Ullstämma 5:8 AB|Botrygg Barkarbystaden 1 AB|Botrygg H74 AB|Botrygg Holding 7 AB|Botrygg Holding 8 AB|Botrygg Garvaren AB|Botrygg Gruppen AB|Botrygg Stockholm AB|Jordbro Centrum Utvecklings AB|Botrygg Stockholm Holding AB|Botrygg Stockholm Län Norra AB|Botrygg H71 AB|Botrygg H70 AB|Botrygg Startbanan AB|Storvreta Centrumfastigheter AB|Botrygg H75 AB|15 Tesuhd AB|Botrygg Örebro Holding AB|Botrygg Holding 6 AB
Byggnads Aktiebolaget L E Lundberg,5561892711,5,52,Thyrsson; Jonas Oskar,3,0,Byggnads Aktiebolaget L E Lundberg|Fastighetsaktiebolaget Strömstaden|Byggnadsaktiebolaget Dalkarlen
Sumitomo SHI FW Energi Aktiebolag,5565188769,3,50,Moqvist; Claes Johan,1,0,Sumitomo SHI FW Energi Aktiebolag
Teknikbyggarna i Linköping AB,5566757000,5,61,Hedliden; Carl Anders,10,5,Hedfors i Linköping AB|Teknikbyggarna i Linköping AB|Puts- och Fasadteknik i Linköping AB|Hedliden Fastighets AB|Fastighetsaktiebolaget Pagoden 1|Ekkistan i Linköping AB|Anders Hedliden AB|Hedfors Fastighets AB|Hedliden Intressenter AB|Månberget AB
BC Linköping AB,5561948380,5,54,Aldén; Nils Claes Andreas,6,4,BC Linköping AB|B&C i Linköping AB|Roger & Gunnars Maskinuthyrning Aktiebolag|HUFU AB|Ullevida Storgård AB|HUFU Vallastaden 1 AB
Miljöbyggarna Entreprenad i Linköping Aktiebolag,5564411188,6,54,Westin; Lars Anders Martin,6,2,Miljöbyggarna Linköping AB|Miljöbyggarna Entreprenad Holding i Linköping AB|Miljöbyggarna Entreprenad i Linköping Aktiebolag|Egirs Bygg Aktiebolag|Miljöbyggarna Anläggning i Linköping AB|Egirs Bygg Holding AB
S M Entreprenad Aktiebolag,5561939215,4,55,Nylin; Erik Hjalmar,2,3,Erilarsen förvaltnings AB|S M Entreprenad Aktiebolag
Himmelsta Byggentreprenad AB,5567333512,4,54,Brink; Per Niklas Olof,6,14,Himmelsta Holding i Norrköping AB|Himmelsta Byggentreprenad AB|Bovallen Maskin AB|Bovallens Fastighets AB|Byggentreprenören Fastigheter i Norrköping AB|Norrköpings Byggmästare Förvaltningsaktiebolag
