company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
DNS gruppen AB,5562540186,4,54,Sahlin; Ulf Göran,1,1,DNS gruppen AB
DNS gruppen AB,5562540186,4,54,Sahlin; Ylva Viola,1,2,DNS gruppen AB
AG Konstruktioner Tekn dr Anders                  Granström Aktiebolag,5562993690,4,62,Granström; Anders Olof,1,3,AG Konstruktioner Tekn dr Anders                  Granström Aktiebolag
Silverfalk Fastigheter AB,5569610818,2,35,Domeij; Eric Magnus Falk,3,2,Falkenro Fastighetsutveckling AB|Falkenro Fastigheter Holding AB|Silverfalk Fastigheter AB
Gillsvik Consulting AB,5569843401,2,57,Gillsvik; Pierre Tommy Ingvar,3,7,JAAM E AB|Bostadsrättsföreningen Lindhagensterrassen 6|Gillsvik Consulting AB
Hantverk ett Aktiebolag,5564309697,2,54,Uggla; Per Anders,1,3,Hantverk ett Aktiebolag
Flodins Projekt & Byggledning AB,5567084347,2,48,Edbrandt; Jan Börje,1,5,Flodins Projekt & Byggledning AB
Mods Arkitekt & Konstruktion AB,5568853468,2,61,Martsoo; Lembit,2,2,EkolandsVillan Handelsbolag|Mods Arkitekt & Konstruktion AB
Vindstat AB,5568640071,2,70,Carlstedt; Nils-Erik Torbjörn,1,1,Vindstat AB
Vindstat AB,5568640071,2,70,Carlstedt; Agnetha Ingrid Christina,1,1,Vindstat AB
Eko Spol Sverige AB,5590186606,2,41,Fouche Torok; Jaime,1,8,Eko Spol Sverige AB
Nordefors Consulting AB,5591215669,4,43,Nordefors; Maria Helena Elisabeth,1,1,Nordefors Consulting AB
Forward Bygg & Entreprenad Aktiebolag,5568181969,2,62,Körnefors; Jan Christer Håkan,11,14,Micromin Management AB|Rastavik AB|Exoft Business Solutions Aktiebolag|Forward Bygg & Entreprenad Aktiebolag|Svensk Mark i Sverige AB|Optimex Ventilation & Miljöteknik Aktiebolag|Optimator Ekonomi & Redovisning Aktiebolag|Forward Fastighetsförvaltning Aktiebolag|Primel AB|Produktkonsult Intressenter PKA Aktiebolag|ShowFace Aktiebolag
Sollentuna Ljus & Kraft Aktiebolag,5560370503,2,67,Pettersson; Annika Elisabeth,1,1,Sollentuna Ljus & Kraft Aktiebolag
BII Engineering AB,5567511703,2,76,Ivner; Bengt Gustaf,2,5,Hetes Energy AB|BII Engineering AB
Hus-Skötsel El & Styr FR AB,5592073778,4,43,Markenhorn; Björn Richard,2,6,Hus-Skötsel El & Styr FR AB|Elektra El i Västberga Aktiebolag
Roslagskustens Byggnadstjänst AB,5568363286,2,53,Stenbacka; Sami Toni,1,0,Roslagskustens Byggnadstjänst AB
Östersjöfastigheter & Entreprenad AB,5564044872,3,49,Landegren; Tove Christina,2,5,KROKAB AB|Östersjöfastigheter & Entreprenad AB
HH3 Entreprenad AB,5569274482,2,46,Malla; Bilal,2,6,Bostadsrättsföreningen Urd 7|HH3 Entreprenad AB
R.S Lyck AB,5590363890,2,35,Lyck; Robert Rolf Lennart,4,4,R.S Lyck AB|RDJ Fastighetsservice AB|Bostadsrättsföreningen Kvarsta By
R.S Lyck AB,5590363890,2,35,Lyck; Sarah Madeleine,1,0,R.S Lyck AB
AH Platt & Bygg AB,5568098296,2,41,Vedom; Clas Ingemar Andreas,2,1,Bygg; Kakel & Vvs i Stockholm AB|AH Platt & Bygg AB
Schuman Berg Arkitektkontor AB,5591416242,4,38,Schuman; Anna Matilda Jenny Twilight,2,0,Schuman Berg Arkitektkontor AB|Schuman & Partners AB
Schuman Berg Arkitektkontor AB,5591416242,4,38,Berg; Carl Martin Tomas,1,0,Schuman Berg Arkitektkontor AB
Energikalkyl Entreprenad & Service i Haninge AB,5568434202,2,61,Hallgren; Stig Björn,5,5,BFS Sweden AB|BFS Energitjänster AB|Analys & System Design Haninge AB|Energikalkyl Entreprenad & Service i Haninge AB|AG Padel AB
Energikalkyl Entreprenad & Service i Haninge AB,5568434202,2,61,Hallgren; Pia Elisabeth Björnsdotter,2,2,Analys & System Design Haninge AB|Energikalkyl Entreprenad & Service i Haninge AB
Arxigo AB,5590453592,2,37,Karkamanis; Farrokh,3,0,BHC Salon AB|Arxigo AB|Lek & Bus Stockholm AB
Strategisk Framtid AB,5569202657,2,55,Lagerlöf; Marie Hae Kyung,1,0,Strategisk Framtid AB
Torbjörn Pettersson Drylining Consulting AB,5591019640,4,61,Pettersson; Erik Torbjörn,1,0,Torbjörn Pettersson Drylining Consulting AB
HOUSE SERVICE NORDIC AB,5567517999,2,44,Broström; Lars Peter,3,3,KulörCompaniet i Järfälla AB|HOUSE SERVICE NORDIC AB|Houseservice i Stockholm
HOUSE SERVICE NORDIC AB,5567517999,2,44,Paulauskas; Kestutis,2,0,HOUSE SERVICE NORDIC AB|KulörCompaniet i Järfälla AB
08 Bygg & Entreprenad AB,5567863682,2,57,Sellberg; Carl Joakim,3,0,Föreningen Ranängens Tennisbanor u.p.a.|08 Bygg & Entreprenad AB|Opendesk AB
Emendo Design & Engineering AB,5568314263,2,53,Karlsson; Lars Johan,1,0,Emendo Design & Engineering AB
Orion Projekt AB,5590705777,4,57,Billing; Johan Richard,2,1,Orion Projekt AB|JRB Projekt AB
GPP Electric AB,5592154644,3,34,Stuknys; Gediminas,1,0,GPP Electric AB
Andelsägarbolaget M2 AB,5567840219,4,64,Friman; Anders Lars-Henrik,4,14,Sekinen Affärsutveckling AB|Andelsägarbolaget M2 Marknad AB|Andelsägarbolaget M2 AB|GodBo management AB
Treicon Aktiebolag,5560616301,3,57,Treiberg; Tom Ingemar,1,0,Treicon Aktiebolag
EKG Entreprenad & Konsult Gruppen Nacka AB,5568939234,2,36,Sigsjö; Emil Mattias,3,6,Entreprenadteknik Stockholm AB|RSSSW Holding AB|EKG Entreprenad & Konsult Gruppen Nacka AB
Wangco AB,5591139901,3,57,Wånggren; Bengt Holger,7,6,Sollentunafastigheter 3 AB|Sollentunafastigheter 2 AB|Sollentunahem AB|K.W.O.G. Aktiebolag|Wangco AB|Ideella föreningen Rådet för Byggkvalitet; BQR    med firma BQR|Bromskärs Elbilsladdning ekonomisk förening
Yngström & Nilsson Fastighets Aktiebolag,5562760065,3,58,Nilsson; Johan Kristoffer Alf,5,8,Projektledarna Bygg & Fastighet i Sverige AB|Agape Buss Aktiebolag|Förvaltarna Fastighetskonsult i Sverige AB|Agape Konsult Aktiebolag|Yngström & Nilsson Fastighets Aktiebolag
Aktiebolaget bogaard möbel design,5591716013,3,47,Sølgaard; Bjarke,1,1,Aktiebolaget bogaard möbel design
Aktiebolaget bogaard möbel design,5591716013,3,47,Boson; Brita Johanna,1,0,Aktiebolaget bogaard möbel design
Center för Miljö- och Energiforskning Sverige AB,5566296264,2,75,Arnold; Leif Alexander,3,5,RRO-Radon Organisation Aktiebolag|Center för Miljö- och Energiforskning Sverige AB|Nucletron Aktiebolag
Tyr event och service AB,5592100506,2,32,Kulmala; Robin Jorma,1,0,Tyr event och service AB
Kidi Sport & Lek AB,5591815591,1,29,Jalonen; Philip Andreas,4,2,Kidi Sport & Lek AB|Scandinavian Wardrobes i Stockholm|TP VVS I Stockholm AB|Texor Bygg AB
Raffaella AB,5563773703,2,37,Eliasson; David Johan Lennart,1,4,Raffaella AB
Dalston Creative AB,5567090963,3,49,Darke; Sofia Karolina,1,2,Dalston Creative AB
Böving & Kinnmark Arkitektkontor Aktiebolag,5565198057,3,67,Edlund; Jan Herman,2,4,Arkitekt-& Projektledning JE Aktiebolag|Böving & Kinnmark Arkitektkontor Aktiebolag
Fastighetsbolaget H 6;5 AB,5591025126,2,31,Blom; Per,10,14,BT El Per Blom AB|Svensk Total Entreprenad AB|Skiffern AB|DQ Trading AB|PK Smide AB|Bostadsrättsföreningen Botkyrka Hantverkshus|Nätverksinstallatörerna i Årsta AB|Fastighetsbolaget H 6;5 AB|Bensviken invest AB|Couvent de Oulias AB
Koliber AB,5590914379,2,47,Konieczna; Malgorzata Anna,1,0,Koliber AB
Jenny & Martin AB,5568905342,2,41,Kihlberg; Erik Martin Tage,1,5,Jenny & Martin AB
LKN Markkalkyl AB,5590543418,2,68,Nilsson; Leif Kenneth,1,0,LKN Markkalkyl AB
LKN Markkalkyl AB,5590543418,2,68,Helgesson Nilsson; Marie-Louise K,1,0,LKN Markkalkyl AB
LoftSweden Holding AB,5561086322,3,49,Syrén; Johan Niclas,2,1,LoftSweden AB|LoftSweden Holding AB
Borinco AB,5592028699,2,52,Borin; Carl Patrik,5,3,Borin & Co AB|Borinco AB|HeSaPa Holding AB|Kaggeholm 6 AB|Nya Arkitektriket AB
Moderna Villor Sthlm AB,5591648372,2,57,Zapfe; Roger Gunnar,3,2,Moderna Villor Sthlm AB|ZAPFE Trading|World Class Hälsocenter i Trelleborg Handelsbolag
Sjöstadens Besiktning AB,5566869201,2,58,Averstål; Carl Jonas Roland A,2,2,Sjöstadens Assistans AB|Sjöstadens Besiktning AB
Cullteko Holding AB,5567833487,2,59,Thasaduak Paal; Patchanee,6,3,Cullteko AB|Nordisk Vattenprojektering AB|P T P Service Kommanditbolag|Cullteko Service Kommanditbolag|ARTVITA AB|Cullteko Holding AB
CBX Bygg AB,5569005613,2,53,Butnariu; Radu-Camil,1,0,CBX Bygg AB
