company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
REP Konsult AB,5590965595,5,48,Pettersson; Rolf-Erik,1,0,REP Konsult AB
Peter Nederman Consulting AB,5591839443,2,35,Nederman; Lars Peter,3,9,PN & PF Construction fastigheter AB|Peter Nederman Consulting AB|Peter Nederman Consulting
Harnesk Montage & Bygg AB,5591263958,1,35,Harnesk Eriksson; Bengt Robin,1,0,Harnesk Montage & Bygg AB
INNOVATIVE PRODUCTS SWEDEN AB,5568257744,2,57,Vargas Siggelin; Alex,3,12,AB Gotländska HVB|Siggelin Familjehem AB|INNOVATIVE PRODUCTS SWEDEN AB
Belles Properties AB,5591050033,2,42,Parsa; Leyla,4,19,Belles Kids Care AB|Belles Properties AB|Städhjälp i Örebro AB|Adde & Bellas Familj Holding AB
VVS Teamet i Örebro AB,5592064587,2,56,Extra; Klaus-Peter,1,1,VVS Teamet i Örebro AB
Nord architecture & arts AB,5591895015,2,38,Granström; Joakim Stigbjörn,1,0,Nord architecture & arts AB
Rörkrökaren i Hallsberg Aktiebolag,5562468099,4,48,Nilsson; Sven Erik,6,11,Aktiebolaget Infjärdens Värme|Nordtool Aktiebolag|Norrländska Industriaktiebolaget|Aktiebolaget Infjärdens Värme Fastigheter|Rörkrökaren i Hallsberg Aktiebolag|Biogreen AB
Monterings Aktiebolaget Permont,5561947432,2,66,Persson; Erik Åke,1,0,Monterings Aktiebolaget Permont
ByggResurs i Örebro AB,5567068308,2,30,Demir; Samuel,4,0,Hus i Bergslagen AB|Örebro Byggpartner AB|ByggResurs i Örebro AB|ÖBP Investment Aktiebolag
NEONOM HOLDING AB,5568526676,4,48,Nylander; Dag Johan Mauritz,3,1,NEONOM HOLDING AB|NEONOM AB|Sajos AB
House of Emy AB,5567834006,4,55,Lindqvist Kax; Karin Johanna,4,11,Åsa Kax design AB|House of Emy AB|Karin Lindqvist Kax|Market Edge AB
House of Emy AB,5567834006,4,55,Hertov; Erik Hannes Alexej,2,2,House of Emy AB|H2 Teknik
PG ONE AB,5590206321,2,46,Gylling; Peter Åke,3,1,Harge Fritid AB|PG ONE AB|Peter Gylling Fastigheter
Ezy Hut AB,5590701594,2,55,Askelin; Karl Bernt,1,0,Ezy Hut AB
Ezy Hut AB,5590701594,2,55,Askelin; Lia Lenita Carola,1,0,Ezy Hut AB
Närke Ventilationsteknik AB,5591992218,2,40,Hedberg; Tom Göran,1,1,Närke Ventilationsteknik AB
Bofeldt Arkitektur & Design AB,5567390595,2,71,Bofeldt; Sven Stefan,1,0,Bofeldt Arkitektur & Design AB
Hemservicio24 AB,5567790547,3,56,Nunez Maximiliano; Edgar Raul,2,0,Konsult24 AB|Hemservicio24 AB
Manderstedts Byggservice AB,5590977137,4,40,Persson Manderstedt; Tommy Roland I,1,0,Manderstedts Byggservice AB
MichTech AB,5565957486,2,71,Johansson; Per Ove Stefan,1,4,MichTech AB
Nordic Trade Link Aktiebolag,5564629896,2,78,Leppänen; Asko Lauri Johannes,1,6,Nordic Trade Link Aktiebolag
Solcellsinstallation 2000 Aktiebolag,5591670632,2,40,Laurell; Johan Per,1,3,Solcellsinstallation 2000 Aktiebolag
JoCad AB,5591124606,2,54,Sjödin; Johan Henrik,3,1,Bostadsrättsföreningen Södra Östanvik|J.Sjödin Holding AB|JoCad AB
Färnlidens Måleri Aktiebolag,5562852508,2,70,Färnliden; Jan-Olov,1,0,Färnlidens Måleri Aktiebolag
Ergo Innovation Sweden AB,5568401359,2,41,Bergström Jangdin; Eva Christina,2,1,Ergo Innovation Sweden AB|Ergonomeva
Woodwork Creations Sweden AB,5569152043,3,57,Andersson; Sylvi Marianne,1,0,Woodwork Creations Sweden AB
Woodwork Creations Sweden AB,5569152043,3,57,Allsop; Paul Edward,1,1,Woodwork Creations Sweden AB
Närkes Elkraftteknik AB,5592097454,2,41,Westergren; Mikael Joakim,1,0,Närkes Elkraftteknik AB
Lekeberg Invest Aktiebolag,5561185215,2,52,Eriksson; Per-Olov Gunnar,5,14,Molnbolaget Sverige AB|Lekebergs Rör AB|Kvarntorps Gårdförvaltning AB|Lekeberg Invest Aktiebolag|Bostadsrättsföreningen Slussparken
Svartå Elservice Aktiebolag,5563444206,2,62,Holm; Lars Gunnar,1,2,Svartå Elservice Aktiebolag
Psec maskin och montage AB,5591412993,2,36,Stångberg; Per Erik,1,1,Psec maskin och montage AB
Psec maskin och montage AB,5591412993,2,36,Carlsson; Erik Staffan,1,1,Psec maskin och montage AB
Byggfirman i Örebro AB,5590711460,2,46,Destici; Besim,2,6,Byggfirman i Örebro AB|Elfirman i Örebro AB
Ailish och Bengt Olson AB,5591136030,3,56,Olsson; Bengt Erik,2,11,Inframiljö i Örebro AB|Ailish och Bengt Olson AB
LG Otterling AB,5569070906,2,51,Otterling; Lars-Göran,2,7,LG Otterling AB|Cadakuten AB
Cadakuten AB,5569070948,2,51,Rehn; Lars Anders Mattias,2,3,LG Otterling AB|Cadakuten AB
Mälardalens Ställningsmontage AB,5565881272,2,49,Eriksson; Per Mikael,13,13,Lindehallen AB|Scandinavian Osterberg Helicopter Center AB|Roje AB|Sommerik Fastigheter AB|Eriksson Fastigheter i Lindesberg AB|BoNils Fastigheter AB|Lindesby 6:5 AB|Fastighetsbolaget Bromsen AB|Lindesby 5:2 AB|Mälardalens Ställningsmontage AB|Per E Holding AB|PJ Lindesby AB|P J Eriksson Fastigheter AB
Mälardalens Ställningsmontage AB,5565881272,2,49,Eriksson; Jan Roger,11,6,Roje AB|Sommerik Fastigheter AB|Eriksson Fastigheter i Lindesberg AB|BoNils Fastigheter AB|Lindesby 6:5 AB|Fastighetsbolaget Bromsen AB|Mälardalens Ställningsmontage AB|Björksta Murar'n|PJ Lindesby AB|P J Eriksson Fastigheter AB|J R E Holding AB
Projektstjärnan konsultbyrå AB,5569239998,2,51,Lundin; Christian Petri,1,10,Projektstjärnan konsultbyrå AB
Projektstjärnan konsultbyrå AB,5569239998,2,51,Lundin; Lena Birgitta,1,1,Projektstjärnan konsultbyrå AB
Daniel Holms Entreprenad AB,5569375529,2,44,Holm; Karl Lars Daniel,2,0,Daniel Holms Entreprenad AB|Holms Entreprenad
Creative Clean i Sverige AB,5591737159,2,32,Nordenlycka; Tina Mari,4,5,Nordenfrost Sweden AB|Creative Clean i Sverige AB|Nordenlycka of Sweden Handelsbolag|Newness AB
CPA Projekt Partner i Mälardalen AB,5568826761,2,65,Palm; Stig Gunnar Christer,1,0,CPA Projekt Partner i Mälardalen AB
Lars Olsson Trading AB,5591625131,2,54,Olsson; Lars Gunnar,2,20,Lars Olsson Trading AB|Back Up Group AB
Ekeby företagsutveckling AB,5560376724,2,50,Ewert; Lars Magnus,1,2,Ekeby företagsutveckling AB
Energi & Innovation i Norden AB,5592005788,2,68,Davidsson; Hans Krister,2,6,Energi & Innovation i Norden AB|Deson AB
Birgerssons Miljöservice AB,5591769491,4,43,Birgersson; Rolf Anders,1,1,Birgerssons Miljöservice AB
Birgerssons Miljöservice AB,5591769491,4,43,Birgersson; Maria Kerstin Britta,1,0,Birgerssons Miljöservice AB
Lanna Lock & Load Event AB,5569335333,4,47,Andershed; Erik Mattias,2,12,Lanna Lock & Load Event AB|MAAND Invest AB
DIEX Holding AB,5563273522,3,68,Hatziantoniou; Vasilios,1,4,DIEX Holding AB
