company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bolaget NQAC AB,5590699921,2,53,Lindqvist; Hans Grim,1,5,Bolaget NQAC AB
Utklippan Design Sweden AB,5568544968,2,71,Andersson; Anne Cristine,2,3,Intresseföreningen Ölands Norra Ideell förening   med firma Intresseföreningen Ölands Norra|Utklippan Design Sweden AB
Ostkustens Plåtslageri i Oskarshamn AB,5591526826,2,56,Hällblad; Roger Kenneth Mikael,2,4,Ostkustens Tak i Oskarshamn AB|Ostkustens Plåtslageri i Oskarshamn AB
Prosimba Invest AB,5566257472,2,68,Persson; Bengt-Åke,6,15,Fårbo Logistikcenter AB|Prosimba Invest AB|Misterhultsföretagarna ekonomisk förening|AB Diorama|Råkulla AB|Fårbo Stugby AB
Media View Öland AB,5591812317,3,41,Schäfer; Joel Bertil Rolf Johannes,4,4,Joel Schäfer Grafisk Designer|Joel Schäfer Grafisk Designer AB|Media View Öland AB|Joel Schäfer Invest AB
Nelsons Väg & Anläggning AB,5563513315,2,57,Nelson; Per Arne,2,3,Nelsons Väg & Anläggning AB|Hultsfreds Skog & Entreprenad AB
Martin Tjäder VVS AB,5568440563,2,43,Tjäder; Martin Gunnar,2,0,Föräldrakooperativet Stinsen ekonomisk förening|Martin Tjäder VVS AB
SSE Teknikutveckling AB,5562510825,3,61,Biskop; Johan Anders,3,6,Alcad Aktiebolag|SAFT Aktiebolag|SSE Teknikutveckling AB
AGV AB,5567428932,2,46,Nilsson; Pär Erik Mathias,3,3,Karl-Inge Nilssons Bilhall Aktiebolag|AGV AB|K-I Nilssons Fastighets AB
KADO Smart Solution AB,5590992714,2,62,Hänig; Karsten Rüdiger,1,0,KADO Smart Solution AB
Bergs Anlägg & Industridyk AB,5569164998,2,44,Berg; Johan Erik Hjalmar,1,0,Bergs Anlägg & Industridyk AB
Bergs Anlägg & Industridyk AB,5569164998,2,44,Berg; Annie Erika Linnéa,1,0,Bergs Anlägg & Industridyk AB
