company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Grand Nordic Byggteknik AB,5591962963,2,34,Fredhav; Dennis,3,2,Fredhav Invest AB|Grand Nordic Byggteknik AB|Fredhav byggkonsult AB
Jan-Åke Karlsson aktiebolag,5569659153,2,70,Karlsson; Jan-Åke,2,0,Jan-Åke Karlsson aktiebolag|KART
Josefin & Joakim Örtegren AB,5569945875,2,42,Örtegren; Anders Joakim,2,4,Föräldrakooperativet Stentrollet                  Ekonomisk förening|Josefin & Joakim Örtegren AB
Josefin & Joakim Örtegren AB,5569945875,2,42,Örtegren; Karin Josefin Elisabeth,2,0,Josefin & Joakim Örtegren AB|Fröken Ö
DB Småland AB,5591607857,4,32,Holmberg; Karl Magnus Tobias,1,0,DB Småland AB
DB Småland AB,5591607857,4,32,Rieloff Sköld; Johannes Karl Oskar,2,1,DB Småland AB|GPJ Maskindepå AB
Bigland AB,5590009238,2,31,Lexander; Carl Rickard Hampus,2,2,Bigland AB|m3D Consulting AB
Terrys AB,5591672976,2,53,Terziyski; Svetoslav Bogdanov,1,1,Terrys AB
Elmäster i Ljungby Aktiebolag,5564605649,2,51,Olausson; Tomas Arne,1,4,Elmäster i Ljungby Aktiebolag
VXO GLAZING AB,5591307623,2,51,Harkestad; Kjetil,1,0,VXO GLAZING AB
VXO GLAZING AB,5591307623,2,51,Björke Edevik; Kristi,1,0,VXO GLAZING AB
Lagan Turf Arena AB,5569006116,3,39,Lundberg; Per Joel,2,0,Sunnerbo Media AB|Lagan Turf Arena AB
Boomin AB,5591368856,2,36,Hultqvist; Julia Marie,1,0,Boomin AB
Adrenalin 4U AB,5563668804,3,64,Reispass; George Johan Frederick P,2,2,Adrenalin 4U AB|Adrenalin4U
Everlast i Växjö AB,5567344022,2,48,Olofsson Ranta; Bengt Markus,1,2,Everlast i Växjö AB
Anders Nilsson Fastighetskonsult AB,5590979414,2,54,Nilsson; Anders Erik,1,4,Anders Nilsson Fastighetskonsult AB
