company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
A Brash AB,5568391519,2,39,Brash; Andrew William,3,1,John G Construction AB|A Brash Stockholm AB|A Brash AB
A C Ställningsmontage Aktiebolag,5563594406,2,49,Herranen; Peter Mikael,3,1,Nisses Gatukök AB|Norrlands Kustmontage AB|A C Ställningsmontage Aktiebolag
A Dahlqvist Bygg & Betong AB,5590030499,6,54,Holmgren; Erik Bertil,6,1,Bertil Holmgren Bygg Aktiebolag|A Dahlqvist Bygg & Betong AB|Volgsjö Fastigheter Aktiebolag|PTV Dahlqvist AB|EPDH Fastigheter AB|Vagnede Förvaltning AB
A Hedlunds Måleriaktiebolag,5563014082,2,52,Hedlund; Axel Joakim,9,7,Hedlunds Måleri i Göteborg Aktiebolag|A Hedlunds Måleriaktiebolag|Zeti Fastigheter AB|Måleriföretagen i Väst Serviceaktiebolag|NYMÅLIA Fastighets AB|Nymålia Spinnaren AB|Nymålia Paradisvägen AB|BAH Fastigheter AB|Hedlundsgruppen i Väst AB
A Måleri & Golv i Uppland AB,5562074129,3,52,Norling; Hans Fredric,1,4,A Måleri & Golv i Uppland AB
A Olsson Grund & Betong AB,5561780833,2,60,Olsson Grytfors; Anders,8,1,A Olsson Grund & Betong AB|A. Olsson Entreprenad|Anders Olsson Grytfors Fastighet AB|Apelsäter Fastigheter AB|Olsson Grytfors Holding AB|Ejdbring/Olsson Holding AB|Apelsäter jakt och skytte AB|Apelsäter Holding AB
A & R Axelssons Bygg Aktiebolag,5564791738,2,40,Söderstjärna; Robert Arne,2,3,A & R Axelssons Bygg Aktiebolag|Söderstjärna Holding AB
A. Bildmark & Son Aktiebolag,5560363920,2,49,Levin; Johan Peter,1,3,A. Bildmark & Son Aktiebolag
A. Davidsson Måleri & Golv AB,5563543353,3,50,Rapp; Clas Anders,4,6,A. Davidsson Måleri & Golv AB|Nordisk Yta AB|Nordisk Yta Färg & Miljö AB|SHR Förvaltning i Östergötland AB
A. Madsens Takservice Aktiebolag,5565867677,2,50,Madsen; Willy Egevang,2,1,Madsen & Windahl Real Estate & Consulting AB|A. Madsens Takservice Aktiebolag
A. Madsens Takservice Aktiebolag,5565867677,2,50,Windahl; Ulf Mikael,2,0,Madsen & Windahl Real Estate & Consulting AB|A. Madsens Takservice Aktiebolag
A. Nordbecks Entreprenad Aktiebolag,5561289652,4,47,Tuvefeldt; Per-Ingvar Manfred,6,4,Bodeborn Gräv Aktiebolag|A. Nordbecks Entreprenad Aktiebolag|Terrapro AB|Hörbys JM Entreprenad AB|Tuvefeldt Invest AB|Tuvefeldt Invest
A.F.C. El Aktiebolag,5560795931,2,68,Nilsson; Lars Arne Bertil,1,0,A.F.C. El Aktiebolag
A.G.S Smide AB,5568801533,2,48,Gabrielsson; Alf Göran,1,1,A.G.S Smide AB
A.J. Svetsning AB,5569988776,2,39,Juskauskas; Algirdas,1,0,A.J. Svetsning AB
A.L. Ivarsson Fönster Aktiebolag,5564488426,2,64,Ivarsson; Anders Bertil,5,8,Valter Carlsson Handel och Måleri Aktiebolag|A.L. Ivarsson Fönster Aktiebolag|Gingsjöns Fastighets AB|Fastighets AB Fänriken|Sälgered Förvaltnings AB
A.M Bygg & Takbolaget i Sthlm AB,5569297285,2,43,Petrini; Mona Madeleine,1,2,A.M Bygg & Takbolaget i Sthlm AB
A.V.D. Värme och Vatten Aktiebolag,5561664920,2,34,Nilsson; Per Ulf Adam,3,1,A.V.D. Värme och Vatten Aktiebolag|Bergslagens Invest AB|Bergslagens VVS AB
A.W. Jonaeson Bleck & Plåtslageri Aktiebolag,5560666389,3,36,Kafedzic; Denis,2,3,Bostadsrättsföreningen Länna Höjden|A.W. Jonaeson Bleck & Plåtslageri Aktiebolag
Aktiebolaget Artur Sjöberg Smide,5560576273,3,51,Stenfors; Hannu Kalevi,4,3,AB Lågbulen|Aktiebolaget Oskar Jansson Plåt & Smide|Aktiebolaget Artur Sjöberg Smide|Itaka Holding AB
Aktiebolaget Bandhagens Glasmästeri & Ramaffär,5561236943,2,36,Hansson Lyck; Lars Daniel,1,0,Aktiebolaget Bandhagens Glasmästeri & Ramaffär
AB Beletorps Maskiner,5566850169,2,53,Winqvist; Bent-Arne Emil,13,8,AB Beletorps Maskiner|Abbema Entreprenadschakt AB|Byggmotet på Lidingö AB|Beletorp Trading AB|HMW Entreprenörer AB|Abbema Transport AB|AB Beletorps Markentreprenad|Beletorps Maskiner förvaltning AB|Beletorp|ABBEMA Anläggningsmaskiner AB|Abbema Heavy Equipment AB|Abbema Fordon AB|Abbema Excavators AB
Aktiebolaget Bengt Fredin Taktäckning & Isolering,5561335950,4,42,Fredin; Erik Robert,3,4,Aktiebolaget Bengt Fredin Taktäckning & Isolering|Fredins Takentreprenad AB|Partner Shipping AB
AB Boxholmsteknik,5566628490,7,72,Noaksson; Leif Fredrik,3,5,Aktiebolaget Boxholmshus|AB Boxholmsteknik|FRENO B&R
Aktiebolaget Bröderna Falk Byggnadsställningar    Eftr.,5561206094,3,51,Weinö; Christer Fredric,5,4,Aktiebolaget Bröderna Falk Byggnadsställningar    Eftr.|Stenson Garage AB|Akema Andelshästar Handelsbolag|Weinö Förvaltning AB|Falks Förvaltnings AB
Aktiebolaget Bröderna Holsts Golvbeläggning,5560734179,3,55,Holst; Leif Håkan,1,1,Aktiebolaget Bröderna Holsts Golvbeläggning
AB Bygg PP; Preben Petersen,5566107479,2,65,Petersen; Preben Raahauge,2,2,Bostadsrättsföreningen Solgården i Ystad|AB Bygg PP; Preben Petersen
AB Byggruppen i Marieholm-Göteborg,5569313868,3,42,Sneider; Mikael Lars Erik,2,0,Westmoreland Holding Aktiebolag|AB Byggruppen i Marieholm-Göteborg
Triclima Installation AB,5564520475,3,54,Carlén; Peter,5,6,Triclima Installation AB|Aktiebolaget Carléns Måleri|Bromma Energi Aktiebolag|C. Capital AB|Bostadsrättsföreningen Galoppen 30 och 31
Aktiebolaget Clois Serneberg,5561420752,nan,nan,Ljungholm; Larry Ingvar,2,10,Fjordskäret Holding AB|Fjordskäret Fastighets AB
AB Confrema Entreprenad,5569105819,3,47,Furman; Fredrik Zoltan,9,11,AB Confrema Entreprenad|Tenere AB|Paradoumo & Partners 2 AB|Peculia Invest AB|AB Kraftanläggarna SM|Team Kigers AB|Paradoumo Cement 4 AB|Vuuzle Media AB|Paradoumo & Partners 3 AB
