name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
A Bergman Rör AB,5567988125,,,nan,nan
A Brash AB,5568391519,2,39,3,1
A Bygg och Montage i Piteå AB,5568871411,2,47,nan,nan
A Byggare i Väst AB,5569369977,2,45,nan,nan
Bravida Örnsköldsvik El AB,5564160371,,,nan,nan
A C Ställningsmontage Aktiebolag,5563594406,2,49,3,1
A Co Tak & Montage AB,5590478649,3,46,nan,nan
A D Gustafssons Rör AB,5567054589,2,37,nan,nan
A Dahlqvist Bygg & Betong AB,5590030499,6,54,6,1
A Gunnarssons Bygg AB,5568608961,4,49,nan,nan
A Hassel AB,5565277547,2,55,nan,nan
A Hedlund Bygg AB,5568416316,2,51,nan,nan
A Hedlunds Måleriaktiebolag,5563014082,2,52,9,7
A Jansson Bygg & Entreprenad AB,5568594161,2,45,nan,nan
A Jonsson Entreprenad Aktiebolag,5563458065,2,57,nan,nan
A Jönsson Bygg & Handel AB,5569804767,3,53,nan,nan
A Krantz Aktiebolag,5562799303,,,nan,nan
A M Johansson Bygg AB,5567154264,2,74,nan,nan
A M Plåt & Ventilation AB,5568361397,3,52,nan,nan
A Malmborgs Bygg AB,5569292385,2,47,nan,nan
A Modigs Plåt & Underhåll AB,5562242684,2,60,nan,nan
A Måleri & Golv i Uppland AB,5562074129,3,52,1,4
A Olsson Grund & Betong AB,5561780833,2,60,8,1
A P H Elektriska Aktiebolag,5562301597,3,63,nan,nan
A T I Byggtjänst Aktiebolag,5562095025,2,49,nan,nan
A & D Appelgren Bygg AB,5568907470,,,nan,nan
A & K Entreprenad AB,5568057300,3,51,nan,nan
A & R Axelssons Bygg Aktiebolag,5564791738,2,40,2,3
A. Berglunds vägunderhåll AB,5565207023,3,59,nan,nan
A. Bildmark & Son Aktiebolag,5560363920,2,49,1,3
A. Börjesson Bygg Aktiebolag,5561291898,2,58,nan,nan
A. Davidsson Måleri & Golv AB,5563543353,3,50,4,6
A. Engströms Bygg AB,5566227400,2,55,nan,nan
A. Johansson Maskiner AB,5568429491,2,55,nan,nan
A. Karlsson Bygg Mellbystrand AB,5566531843,2,50,nan,nan
A. M. Pumptjänst Aktiebolag,5567254684,3,63,nan,nan
A. Madsens Takservice Aktiebolag,5565867677,2,50,4,1
A. Nordbecks Entreprenad Aktiebolag,5561289652,4,47,6,4
