company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
At front skyltentreprenad AB,5566776166,4,43,Risberg; Maria Birgitta,4,1,At front skyltentreprenad AB|Risberg Invest AB|Sign Installation Group Nordic AB|JACK Risberg Holding AB
AT Installation Aktiebolag,5560805458,4,59,Hansson; Mats Folke Torbjörn,3,1,AT Installation Aktiebolag|Bild AT Se AB|Valldas Kost- och Friskvård AB
AT Isolering AB,5590616040,2,54,Thorsander; Andreas Daniel,3,0,A. Sjölunds Bygg AB|A.Thorsander AB|AT Isolering AB
ATAB Aluminium AB,5567788608,2,68,Jernemalm; Lennart Johan Ove,2,2,ATAB Aluminium AB|Ryme Marketing AB
ATI's El och Energiteknik AB,5565240701,2,40,Muresan; Andrei,3,5,76 JA-EL AB|Åtia AB|ATI's El och Energiteknik AB
ATLA Industriservice AB,5565734935,3,50,Benjaminsson; Carl Roy Stefan,5,1,ATLA Industriservice AB|Teknik Support i Jönköping AB|Atla Fastigheter AB|Skandinavisk Skogsvård AB|Atla Holding AB
Atmosfär Partner AB,5567284244,5,57,Sjörén; Stig Niclas,5,8,Atmosfär Partner AB|Kungssten Förvaltning Kommanditbolag|Mica-El Styr & Regler AB|Webmap Sweden AB|Kungssten Ettan Kommanditbolag
Atrox Group AB,5567301808,3,51,Larsson; Jan Henrik,1,3,Atrox Group AB
Atrox Group AB,5567301808,3,51,Larsson; Anders Rickard,6,4,Atrox Group AB|Exstructio AB|Modul Case Norden AB|Crimax AB|Planet lib AB|Ecomodulbygg Norden AB
Attunda El- o Telecom AB,5567275556,7,48,Bjersbo; Jan-Erik Torsten,2,6,Attunda Invest AB|Attunda El- o Telecom AB
ATV Entreprenad AB,5567632640,4,51,Carlsson; Viktoria Maria Elisabeth,1,2,ATV Entreprenad AB
ATV Entreprenad AB,5567632640,4,51,Jonsson; Tobias Åke Lennart,1,2,ATV Entreprenad AB
Audax Aktiebolag,5565898300,2,69,Åström; Anders Jakob,4,13,Audax Aktiebolag|Anders Åström|Audax Fastigheter AB|Mellangrus Fastigheter AB
AULIK Bygg & Plattsättning AB,5568314503,2,35,Aulik; Lars Dennis,3,2,AULIK Holding AB|AULIK Bygg & Plattsättning AB|Byggdesign Norden AB
AVENT Drift & Innemiljö AB,5565679072,4,46,Helgesson; Björn Jesper,9,10,Ventilligent Holding AB|AVENT Drift & Innemiljö AB|BXL Byggservice AB|Kalmar Ventprodukter AB|Ventilligent Fastighets AB|NFAST AB|Ventilligent AB|Kalmar Fast AB|Björn Helgesson Förvaltning i Kalmar AB
Avloppshuset i Stockholm AB,5564034030,nan,nan,Engberg; Martin Ivan,1,3,Martin Engberg Entreprenad AB
AW Elteam Aktiebolag,5562173921,5,48,Augustsson; Henrik Olof,4,0,AW Elteam Aktiebolag|Terrin AB|AW Elteam Installation AB|AW Gruppen AB
AWJ ELTEKNIK AB,5569341539,3,33,Jonaeson; Robert Mats,3,6,B2J Group AB|AWJ ELTEKNIK AB|RWJ Invest AB
Axali Montage AB,5568626211,3,66,Lindberg; Kurt Torbjörn,3,10,SVENSK SPANSKA FLYTT|Vägjouren Sverige Handelsbolag|Axali Montage AB
Axet Lås i Mjölby Aktiebolag,5561824672,4,52,Olofsson; Peter Karl Erik,1,1,Axet Lås i Mjölby Aktiebolag
A-ställningar AB,5590019054,3,42,Özcelik; Rahim,1,1,A-ställningar AB
a3 EL AB,5569035222,2,32,Cederholm; Lars Tobias,1,0,a3 EL AB
B Anderssons Rörläggeri AB,5569019911,2,50,Andersson; Jan Benny,2,0,BAROR Fastigheter AB|B Anderssons Rörläggeri AB
B E Värme & Sanitet Aktiebolag,5564279692,3,65,Ekström; Berndt Anders,2,1,Ekström Family AB|B E Värme & Sanitet Aktiebolag
B M R Svealand AB,5567745574,2,64,Hedström; Ulf Göte,3,2,Bergslagens Byggkonsult|B M R Svealand AB|Catarrhacta AB
B Westerberg Rörservice Aktiebolag,5564622909,2,56,Westerberg; Bo Allan,1,0,B Westerberg Rörservice Aktiebolag
B & G Bygg i Hässleholm AB,5562603208,2,59,Olofsson; Bengt Samuel,1,3,B & G Bygg i Hässleholm AB
B & L Lund Aktiebolag,5560978297,4,55,Lund; Pär Anders,2,2,B & L Lund Aktiebolag|Itendi AB
B. Erlandssons El & Data AB,5563964211,4,69,Erlandsson; Nils Bertil,1,2,B. Erlandssons El & Data AB
B. Jarl-montage i Bromölla AB,5567655013,2,48,Jarl; Bo Christian,3,0,Bromöllas Plattkung AB|P.C.A.C AB|B. Jarl-montage i Bromölla AB
B.G. Hansson Aktiebolag,5562905959,3,55,Hansson; Max Fredrik,11,13,B.G. Hansson Aktiebolag|Bostadsrättsföreningen Fjällstigen|BG Hansson Holding AB|Bostadsrättsföreningen solpasset 1|M.F. Hansson AB|M.F. Hansson Holding AB|FRAJ AB|Fastigheter i Länna Slipskivan 9 AB|Klock 54:73 AB|Klock 54:72 AB|Klockafjället Holding AB
BAB anläggning AB,5567712707,3,54,Andersson; Bert Ove Kenneth,30,25,BrA Invest CKS AB|BAB bygg AB|KB Components AB|AB Dogman|Draken i Reftele Aktiebolag|BAB anläggning AB|Djurens Center DC Aktiebolag|Huveröds Hund & Kattmat Aktiebolag|Dogman Butiker AB|Kristianstad Zoologiska AB|Örkelljungahus Korgarna AB|Djurriket i Helsingborg Aktiebolag|Dogman Lager AB|Mässhallen i Åstorp AB|Örkelljungahus Ejdern 16 AB|Örkelljungahus Hagtornet 1 AB|Fastighets AB 3Hus|Shopet AB|Fastighets AB Västra vägen|Gajadfastigheten i Åstorp AB|Progetti Getapeln 1 AB|3Hus Holding AB|Åstorpshus Nyvång 1:196 AB|Progetti Spaljén 1 i Trelleborg AB|Progetti Ramlösa 5:12 AB|Fyllinge 20:557 Fastighets AB|Örkelljungahus Ejdern 14 AB|Progetti Elinegard 1 AB|Bjuvshus Bjuv 3:58 AB|Progetti Ortica AB
Bad & Rum i Mälardalen AB,5590293873,4,51,Kangasharju; Jari Peter,1,0,Bad & Rum i Mälardalen AB
Badrumsdax Sverige AB,5569256216,2,40,Patzelt; Johan Gunnar,2,1,Badrumsdax Sverige AB|Badrumsdax Entreprenad 08 AB
Badrumsdax Sverige AB,5569256216,2,40,Lidström; Tomas Mats Kristoffer,4,4,Badrumsdax Sverige AB|Badrumsdax Entreprenad 08 AB|MediaFlex Communication Sverige Handelsbolag|Bostadsrättsföreningen Lövbrunna Äng
Balcona Aktiebolag,5560761693,3,59,Mondej; Sven Owe,5,13,Balcona Aktiebolag|Balcona syd AB|Opal Byggnadsställningar AB|Balcona Bygg & Måleri AB|Balcona Gruppen AB
Balthem Bygg AB,5568404114,2,44,Berkulis; Edijs,1,1,Balthem Bygg AB
Baltic Offshore Kalmar AB,5561788505,3,59,Eklund; Thomas Arne,6,1,Baltic Offshore AB|Baltic Offshore Kalmar AB|Baltic Offshore Rederi AB|Baltic Offshore Fastigheter AB|M Organic AB|Vennelie AB
Baltic Offshore Kalmar AB,5561788505,3,59,Andersson; Per Stefan,1,1,Baltic Offshore Kalmar AB
Barkarby Glasmästeri AB,5564515061,2,52,Nyman; Lars Christer,3,2,Barkarby Glasmästeri AB|Nymans Glas AB|Glasjouren i Stor-Stockholm Glasmästeri AB
BAU EL AB,5590363437,2,45,Deiss; Raimonds,1,2,BAU EL AB
Baykoff AB,5569470056,2,35,Baikou; Aleh,2,2,Baykoff AB|Baykoff
BayWa r.e. Scandinavia AB,5568856503,3,52,Wallin; Håkan Erik Harald,14,20,BayWa r.e. Nordic AB|Vrångens Kraft AB|Stormon Energi AB|BayWa r.e. Scandinavia AB|Lyngsåsa Kraft AB|Sjönnebol Kraft AB|Ryfors Vindkraft AB|Målajord Vindkraft AB|Åshults Kraft AB|Quletta AB|Slageryds Vindkraft AB|Furukraft AB|Taaleri Målajord AB|Taaleri Slageryd AB
BB mark AB,5566308275,2,51,Eglund Liegnell; John Karl Jörgen M,3,3,Jörgen Eglund Entreprenad AB|ZKY Projektledning AB|BB mark AB
BBM Fasadputs AB,5567053912,2,44,Frygelius; Andreas Daniel,2,4,BBM Fasadputs AB|Snutputsen AB
BBM Golv & Bad AB,5565897484,4,43,Blomqvist; Thomas Andreas,21,5,Blosson Holding AB|Växjö Färg och Måleri AB|Växjö Färg och Tapetaffär AB|BBM Golv & Bad AB|Växjö Färg & Tapet Aktiebolag|GUNNAR 14 Fastighets AB|All Entreprenad Nordic AB|Färg & Tapetcenter i Älmhult AB|Växjö Glas och Fönsterrenovering AB|Alvesta Färg & Måleri AB|GRIP 13-14 Fastighets AB|Fastighets AB Ljungadal 2|BUBBLO FASTIGHETER AB|Möckelsnäs Fastighets Aktiebolag|Help Service & Handel i Älmhult AB|EriMun Fastighets AB|Elme Fastighets AB|KV 14 Fastighets AB|STO 9 Fastighets AB|ERI 5 Fastighets AB|ERI 7 Fastighets AB
BBM i Dalarna AB,5565365110,6,58,Schönbeck; Per,3,4,Aktiebolaget Svensk Våtrumskontroll|BBM i Dalarna AB|Tansbo Trav Handelsbolag
Lundblads Golv i Västervik AB,5563656551,3,52,Berggren; Jan Mikael,3,0,Lundblads Golv i Västervik AB|Lundblads Golv AB|Lundblads Måleri Aktiebolag
