company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Extern Resurs i Falun AB,5562333954,3,63,Bjelkenstedt; Björn Thomas,12,8,ABC Scaffholding AB|ABC-Ställningsmontage AB|ABC Bygghissar och Byggmaskiner AB|Entreprenadställningar i Stockholm AB|Extern Resurs i Falun AB|ABC Franchise AB|Björntjänst i Haninge AB|AB Stückeln|ABC Recycling AB|Bånudden Fastighets AB|Extern Resurs i Örebro AB|TDM Ekonomi AB
Bullens Marktjänst AB,5590317706,2,30,Larsson; Niklas Hans,1,1,Bullens Marktjänst AB
Bureca Proffsen AB,5568817117,2,56,Alameri; Ali Abdulla,6,2,Bureca Proffsen AB|Bureca Bageriet AB|Bureca Vent AB|Bureca Gruppen AB|Oud Huset AB|Bureca Staden AB
Bushati Måleri AB,5569754491,2,33,Bushati; Astrit,1,1,Bushati Måleri AB
Butiksetablering Öst AB,5590432984,3,49,Eriksson; Karl Oskar,5,3,Butiksetablering Öst AB|Butiksetablering Väst AB|Uppsala Life Arena AB|Svensk Butiksetablering Holding AB|Eriksson & Eriksson Kommanditbolag
Butiksteknik i Väst AB,5567881148,3,52,Wetterborg; Fredrik Rolf,3,12,Final Touch Event AB|Butiksteknik i Väst AB|CITO Holding AB
BVA Bygg- och Industriservice AB,5569318743,4,51,Saikoff; Lars Mikael Alexander,1,0,BVA Bygg- och Industriservice AB
BVK Montage AB,5569794786,3,49,Kaisto; Jukka-Pekka,6,3,BVK Montage AB|WFKS Fastighetsförvaltning AB|SilkFast AB|JPK Fönstermontage AB|Vallby Holding AB|AVAB Montage AB
Byggbröderna i Falkenberg AB,5566842919,2,57,Kjeller; Nils Kurt Jan-Åke,7,25,Byggbröderna i Falkenberg AB|Olssons Entreprenad i Halland AB|LBF Protection AB|NKAB Entreprenad AB|Byggbröderna Betongentreprenad i Falkenberg AB|Byggbröderna Mur & Kakel i Falkenberg AB|Byggbröderna Anläggning i Falkenberg AB
Bygg Craft Baudou Carlsson AB,5568650724,4,45,Carlsson; Carl Hans Daniel,2,0,Byggcraft Syd AB|Bygg Craft Baudou Carlsson AB
Bygg Craft Baudou Carlsson AB,5568650724,4,45,Baudou; Karl Arne Fredrik,2,0,Bygg Craft Norduppland AB|Bygg Craft Baudou Carlsson AB
Bygg en 3 Prenad i Genarp AB,5566669007,2,58,Thorgren Bengtsson; Eivor Marita,3,2,Wäby Holding Aktiebolag|Wärdshuset i Genarp AB|Bygg en 3 Prenad i Genarp AB
Bygg Inredning Enskede AB,5567865240,2,37,Witowski; Zenon Stefan Peter,2,5,Bygg Inredning Enskede AB|ZW Byggservice
Bygg Johan i Eksjö AB,5567786040,2,52,Hugosson; Per Johan Martin,3,1,Hugossons Hyresfastigheter AB|ByggJohan|Bygg Johan i Eksjö AB
Bygg Klokt Stockholm AB,5569318628,2,58,Varon Caicedo; Arvey,2,3,Bygg Klokt Stockholm AB|AB Tyngre transport Stockholm
Bygg Konsult TeG Aktiebolag,5565903696,2,75,Granström; Tage Erik,1,2,Bygg Konsult TeG Aktiebolag
Bygg och Entreprenadkedjan i Halmstad AB,5566544119,2,60,Söderberg; Rolf Jörgen,4,0,Bygg och Entreprenadkedjan i Halmstad AB|Kakel Kök & Bar AB|Däckhuset i Laholm AB
Bygg och inredningsgruppen i Stockholm AB,5568477102,2,44,Bjälkengren; Robert,5,4,Bygg och inredningsgruppen i Stockholm AB|AMB Produktion AB|Fastighetstjänst & Byggström i Stockholm AB|Vivit AB|Bjälkengren Holding AB
Bygg och Markelit i Sörmland AB,5569649485,4,44,Haglund; Christoffer,8,3,Nyköpings Bygg & Kakel AB|Bygg och Markelit i Sörmland AB|Agroelit Aktiebolag|Kakel Enterprise 2016 AB|BME Management AB|Snöyra Holding AB|Snöyra Fastighet AB|Christoffer Haglund AB
Bygg Sitko AB,5590610977,2,47,Sitko; Zbigniew Mariusz,1,1,Bygg Sitko AB
BYGG TEKNISKA GRUPPEN TOMAS PIVORAS AB,5567830657,2,55,Pivoras; Tomas,5,1,BYGG TEKNISKA GRUPPEN TOMAS PIVORAS AB|Agusteco AB|Scandinavian Building Construction AB|TMR Fastighetsförvaltning AB|Ottmans Affärsutveckling AB
Bygg & Fasad; Bengt Glaas Aktiebolag,5562252428,4,50,Glaas; Johan Mikael,7,11,Maximalfönster i Åshammar AB|Bygg & Fasad; Bengt Glaas Aktiebolag|Valbo Fönsterteknik Aktiebolag|Odenfönster AB|J Glaas Förvaltning AB|Galaglan Holding AB|Valbo Plåtteknik AB
BYGG & FASADGRUPPEN I ÖSTERGÖTLAND AB,5569338923,2,40,Karlsson; Jonas Mats Roy,2,2,Lincopia AB|BYGG & FASADGRUPPEN I ÖSTERGÖTLAND AB
Bygg & Golv i Västerås AB,5568407836,4,42,Zetterlund; Per Martin Lennart,1,1,Bygg & Golv i Västerås AB
Bygg & Hantverk i Linköping AB,5569574352,2,70,Roth; Peter,4,3,Bygg & Hantverk i Linköping AB|Proframe Aktiebolag|Humania Certifikat AB|Byggeffektiv i Linköping AB
Bygg & Interiör i Katrineholm GolvEntreprenad AB,5566997200,4,52,Karlsson; Mats Tore,3,2,GBR Service Aktiebolag (GBRAB)|Bygg & Interiör i Katrineholm GolvEntreprenad AB|Ritsen AB
