company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
A Brash AB,5568391519,2.0,39.0,3.0,2,1.0,0.0
A C Ställningsmontage Aktiebolag,5563594406,2.0,49.0,3.0,2,1.0,0.0
A Dahlqvist Bygg & Betong AB,5590030499,6.0,54.0,6.0,5,1.0,0.0
A Hedlunds Måleriaktiebolag,5563014082,2.0,52.0,9.0,8,7.0,0.0
A Olsson Grund & Betong AB,5561780833,2.0,60.0,8.0,7,1.0,0.0
A & R Axelssons Bygg Aktiebolag,5564791738,2.0,40.0,2.0,1,3.0,0.0
A. Davidsson Måleri & Golv AB,5563543353,3.0,50.0,4.0,3,6.0,0.0
A. Madsens Takservice Aktiebolag,5565867677,2.0,50.0,4.0,1,1.0,0.0
A. Nordbecks Entreprenad Aktiebolag,5561289652,4.0,47.0,6.0,5,4.0,0.2
A.L. Ivarsson Fönster Aktiebolag,5564488426,2.0,64.0,5.0,4,8.0,0.0
A.V.D. Värme och Vatten Aktiebolag,5561664920,2.0,34.0,3.0,2,1.0,0.0
A.W. Jonaeson Bleck & Plåtslageri Aktiebolag,5560666389,3.0,36.0,2.0,1,3.0,0.0
Aktiebolaget Artur Sjöberg Smide,5560576273,3.0,51.0,4.0,3,3.0,0.0
AB Beletorps Maskiner,5566850169,2.0,53.0,13.0,12,8.0,0.0
Aktiebolaget Bengt Fredin Taktäckning & Isolering,5561335950,4.0,42.0,3.0,2,4.0,0.0
AB Boxholmsteknik,5566628490,7.0,72.0,3.0,2,5.0,0.0
Aktiebolaget Bröderna Falk Byggnadsställningar    Eftr.,5561206094,3.0,51.0,5.0,4,4.0,0.0
AB Bygg PP; Preben Petersen,5566107479,2.0,65.0,2.0,1,2.0,0.0
AB Byggruppen i Marieholm-Göteborg,5569313868,3.0,42.0,2.0,1,0.0,0.0
Triclima Installation AB,5564520475,3.0,54.0,5.0,4,6.0,0.0
Aktiebolaget Clois Serneberg,5561420752,,,2.0,2,10.0,0.0
AB Confrema Entreprenad,5569105819,3.0,47.0,9.0,8,11.0,0.0
Aktiebolaget Davidssons Marktjänst,5563155448,2.0,65.0,4.0,3,1.0,0.0
AB Elteam Norrtälje,5567023998,4.0,53.0,2.0,1,2.0,0.0
Aktiebolaget Ericsbergs Säteri,5560519240,6.0,60.0,7.0,6,1.0,0.0
AB Evelko,5569749137,5.0,56.0,3.0,2,7.0,0.5
Aktiebolaget Frölunda Betonggolv,5562013523,2.0,57.0,4.0,3,6.0,0.0
Aktiebolaget Gerald Karlsson,5560967712,3.0,52.0,6.0,5,5.0,0.0
AB Gevert Bergman Bygg & Co,5566157094,4.0,57.0,2.0,1,0.0,0.0
AB GMS Plåtslageri,5590075874,2.0,41.0,2.0,1,2.0,0.0
AB Golv & Tak,5563128403,4.0,65.0,2.0,1,4.0,0.0
AB Golvinteriör,5564121621,4.0,57.0,3.0,2,1.0,0.0
Aktiebolaget Halmstad Golvservice,5560968892,,,4.0,4,4.0,0.0
Aktiebolaget husbyggarna i kungens kurva,5569994840,2.0,51.0,5.0,4,4.0,0.0
Aktiebolaget Hus- & Villaträdgårdar Lindstedt & Co,5562801174,3.0,55.0,3.0,2,3.0,0.0
Aktiebolaget Hägglunds Last & Schakt,5562885490,3.0,68.0,2.0,1,3.0,0.0
AB IPS Alarm Direct,5560637448,4.0,42.0,6.0,2,8.0,0.0
Aktiebolaget Isoton,5560652629,2.0,69.0,2.0,1,2.0,0.0
Aktiebolaget I3AHCO Service,5563526259,4.0,61.0,4.0,3,8.0,0.0
Aktiebolaget K.G. Karlssons Rörledningsfirma,5560928680,3.0,53.0,2.0,1,4.0,0.0
Aktiebolaget Karlskrona Kylservice,5562019546,5.0,61.0,8.0,7,17.0,0.0
AB Karlssons Bygg & Skorstensservice,5565155651,3.0,57.0,2.0,1,2.0,0.0
Aktiebolaget KJ:s Maskiner,5563509537,2.0,49.0,4.0,3,9.0,0.0
Aktiebolaget Knuttes Rör,5560101312,3.0,53.0,2.0,1,4.0,0.0
Aktiebolaget Krok och Spade Maskinuthyrning,5561554824,6.0,54.0,3.0,2,3.0,0.0
Aktiebolaget Kurt-Görans Elektriska,5561546804,2.0,57.0,2.0,1,3.0,0.0
