company,id,company_form,county,industry,operation,registered_date
Lily Properties AB,5590655865,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2016-06-07
Fogdetorps El Aktiebolag,5564709904,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,1993-08-09
Årsta Markentreprenad AB,5592051295,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Anläggningsarbeten,2019-05-10
Sportgolvsgruppen Sverige AB,5568855877,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Golv- & Väggbeläggningsarbeten,2012-02-28
J.N. Kraftinstallatörer Aktiebolag,5591365738,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,El-VVS & Bygginstallationer,2017-12-01
Smedborn Förvaltning Aktiebolag,5566966254,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2006-01-16
Nya Arkitektriket AB,5592100993,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2019-06-25
BJ Byggteknik Aktiebolag,5560998428,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,1965-09-23
Roger Gidlund KA-tjänst AB,5592259278,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2019-11-08
V23 Holding AB,5567058465,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2006-06-16
Steninge Slott Fastighet 1 AB,5590275276,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2015-09-23
Nybygg i Roslagen Fastigheter AB,5591881536,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2018-12-20
Jan Rafstedt Aktiebolag,5562154772,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1982-02-23
DVN fastighetsutveckling AB,5591418461,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2017-12-22
Pallo Bygg AB,5591803613,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2018-11-16
Vallentuna Förvaltnings Aktiebolag,5560801531,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1961-10-11
Libertas Group AB,5591745707,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Byggverksamhet,2018-10-09
Anders Hedberg AB,5568351356,Aktiebolag,Uppsala län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2010-12-22
Stuvsta Fastighets Aktiebolag,5561065912,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Utformning av Byggprojekt,1966-11-07
Mark & schaktservice i Stockholm AB,5565640140,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Anläggningsarbeten,1998-12-16
E.H.K.L. Arkitektgrupp Aktiebolag,5562674332,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,1985-12-03
Reinova Europe AB,5567035208,Aktiebolag,Stockholms län,Bygg-; Design- & Inredningsverksamhet,Teknisk konsult inom Bygg- & Anläggningsteknik,2006-05-05
