company,id,company_form,county,industry,operation,registered_date
A Bergman Rör AB,5567988125,Aktiebolag,Västernorrlands län,,,2010-01-07
A Krantz Aktiebolag,5562799303,Aktiebolag,Stockholms län,,,1986-06-18
Aktiebolaget Snowtech,5564562352,Aktiebolag,Värmlands län,,,1992-11-10
AB XYZ Plåt,5569981524,Aktiebolag,Västernorrlands län,,,2014-12-22
AC Golv och Plattsättning AB,5565439626,Aktiebolag,Västerbottens län,,,1997-07-03
ACS Entreprenad AB,5569574857,Aktiebolag,Västra Götalands län,,,2014-01-07
Ademo Väst AB,5569097719,Aktiebolag,Västra Götalands län,,,2012-11-08
Akira AB,5562597350,Aktiebolag,Västra Götalands län,,,1985-04-25
AM Vent-Bygg AB,5590046016,Aktiebolag,Stockholms län,,,2015-02-20
Amtor Scandinavia AB,5566824248,Aktiebolag,Stockholms län,,,2005-06-27
Anderssons Bygg & Pool AB,5590223839,Aktiebolag,Västra Götalands län,,,2015-08-10
Anetoft Måleri AB,5567840623,Aktiebolag,Stockholms län,,,2009-06-15
Anläggning & Bygg Kungälv AB,5566446422,Aktiebolag,Västra Götalands län,,,2003-06-05
ANLÖ Grund AB,5590527130,Aktiebolag,Stockholms län,,,2016-02-25
APS Bygg & Mark AB,5569314650,Aktiebolag,Skåne län,,,2013-05-13
Argenta Måleri & Fastighetsservice AB,5566001284,Aktiebolag,Stockholms län,,,2000-11-15
Arnäs Bygg & VVS AB,5568168537,Aktiebolag,Västra Götalands län,,,2010-08-27
Arvs Bygg AB,5590523279,Aktiebolag,Gävleborgs län,,,2016-02-23
AS Group Bygg & Städ AB,5590630371,Aktiebolag,Stockholms län,,,2016-05-17
Avfuktarna Syd AB,5566998844,Aktiebolag,Skåne län,,,2006-03-18
Avloppshuset i Stockholm AB,5564034030,Aktiebolag,Stockholms län,,,1990-09-03
AXE Entreprenad AB,5569278780,Aktiebolag,Västra Götalands län,,,2013-04-06
A-Produktion & Konsult AB,5590928700,Aktiebolag,Blekinge län,,,2016-12-20
Be Ce Vent & Plåt AB,5567384143,Aktiebolag,Stockholms län,,,2007-09-19
Bellbygg Group AB,5590345673,Aktiebolag,Stockholms län,,,2015-11-11
Bematus Bygg AB,5566926266,Aktiebolag,Stockholms län,,,2005-12-05
Bergenudds Byggnads Aktiebolag,5562341130,Aktiebolag,Norrbottens län,,,1983-09-26
Bergslagens El och Kylservice AB,5566329644,Aktiebolag,Örebro län,,,2002-10-25
Björkåsen Mark & Fastighet AB,5590174958,Aktiebolag,Stockholms län,,,2015-06-16
BK-Gruppen i Mariestad AB,5569303125,Aktiebolag,Västra Götalands län,,,2013-04-26
Bluepuma EL AB,5569369951,Aktiebolag,Stockholms län,,,2013-07-09
Bohus Entrepenad AB,5590640297,Aktiebolag,Västra Götalands län,,,2016-05-25
Borås VVS & Kylteknik Aktiebolag,5568099351,Aktiebolag,Västra Götalands län,,,2010-05-31
Brolins Rör AB,5565335881,Aktiebolag,Gävleborgs län,,,1996-09-10
Brämhults Plåtslageri AB,5590058086,Aktiebolag,Västra Götalands län,,,2015-03-02
Bröderna Bygg & Ställningar AB,5569839359,Aktiebolag,Stockholms län,,,2014-09-23
Bygg och Montage i Belganet AB,5590638630,Aktiebolag,Blekinge län,,,2016-05-24
Bygg & Golv i Borås AB,5566183751,Aktiebolag,Västra Götalands län,,,2001-11-05
Byggalliansen i Kristinehamn AB,5568327463,Aktiebolag,Värmlands län,,,2010-12-15
Byggamera Stockholm AB,5568980014,Aktiebolag,Stockholms län,,,2012-07-02
Byggexperterna i Europa AB,5569821753,Aktiebolag,Stockholms län,,,2014-09-08
Byggmästare Sjöö AB,5568028319,Aktiebolag,Dalarnas län,,,2010-03-26
Byggmästaren Syd AB,5569807109,Aktiebolag,Skåne län,,,2014-08-26
Byggnadsaktiebolaget Per Wall,5566334420,Aktiebolag,Skåne län,,,2002-10-03
Byggnadsfirma Kenneth Andersson Aktiebolag,5562273663,Aktiebolag,Stockholms län,,,1983-04-05
Byggruppen i Mälardalen AB,5568997430,Aktiebolag,Stockholms län,,,2012-07-30
Byggruppen Mark och Anläggning i Västerås AB,5566897665,Aktiebolag,Västmanlands län,,,2005-11-08
Byggspecialisten i Bergslagen AB,5566550157,Aktiebolag,Örebro län,,,2004-01-28
Byggteamet Fastigheter Stockholm AB,5568035082,Aktiebolag,Stockholms län,,,2010-04-01
Bygg-gruppen ONID AB,5569909236,Aktiebolag,Västra Götalands län,,,2014-11-18
B&B Byggrenovering AB,5568393325,Aktiebolag,Stockholms län,,,2011-01-24
B&D Grupp AB,5568746795,Aktiebolag,Stockholms län,,,2011-12-06
Carlsson VVS Entreprenad i Uppsala AB,5568296536,Aktiebolag,Uppsala län,,,2010-12-06
CND Bygg & Entreprenad AB,5569798241,Aktiebolag,Gävleborgs län,,,2014-08-18
Condere Bygg AB,5567089395,Aktiebolag,Dalarnas län,,,2006-08-18
Construction Guys in the North AB,5590149968,Aktiebolag,Västra Götalands län,,,2015-05-26
DAJHÖK Förvaltning AB,5562215599,Aktiebolag,Kronobergs län,,,1982-10-12
Damme Byggpartner AB,5569060253,Aktiebolag,Stockholms län,,,2012-10-08
Dennis Specialtransporter AB,5561690644,Aktiebolag,Skåne län,,,1972-09-11
Distrikt 08 Bygg & Fastighetsservice AB,5567658454,Aktiebolag,Stockholms län,,,2008-09-16
DLC Bygg & VVS AB,5569940009,Aktiebolag,Stockholms län,,,2014-12-05
Eco Byggsystem Lidingö AB,5568870975,Aktiebolag,Stockholms län,,,2012-03-08
Edamco Bygg & Entreprenad AB,5568590375,Aktiebolag,Södermanlands län,,,2011-07-07
EEA Andersson Holding AB,5569366395,Aktiebolag,Stockholms län,,,2013-07-03
EHOME Bygg AB,5590188594,Aktiebolag,Västra Götalands län,,,2015-07-01
Ekenborns Måleri AB,5590731773,Aktiebolag,Skåne län,,,2016-08-22
Elcentralen i Norrort Aktiebolag,5590051115,Aktiebolag,Stockholms län,,,2015-02-25
Elektrikerna Västra Götaland AB,5562043405,Aktiebolag,Västra Götalands län,,,1980-03-24
Elektriska Flexservice i Skövde AB,5562684919,Aktiebolag,Västra Götalands län,,,1985-12-09
Elit Plåtslagarna i Sthlm AB,5568379712,Aktiebolag,Stockholms län,,,2011-01-12
Emil Roséns Måleri & Entreprenad AB,5569441495,Aktiebolag,Stockholms län,,,2013-10-01
Energifasader Väst AB,5569713422,Aktiebolag,Hallands län,,,2014-05-12
Engman & Sättermon Byggentreprenad AB,5569024952,Aktiebolag,Stockholms län,,,2012-08-31
Entreprenad 24 D AB,5567359442,Aktiebolag,Skåne län,,,2007-08-14
Entust Sweden AB,5569523938,Aktiebolag,Norrbottens län,,,2013-12-06
Everto AB,5568094931,Aktiebolag,Skåne län,,,2010-05-26
Factus Entreprenad AB,5566053418,Aktiebolag,Skåne län,,,2001-02-08
Faves Bygg AB,5568744337,Aktiebolag,Stockholms län,,,2011-12-05
Fogfria Projektlösningar AB,5569744336,Aktiebolag,Västernorrlands län,,,2014-06-13
Foryx Aktiebolag,5564925369,Aktiebolag,Stockholms län,,,1994-09-17
Framnäsviken Byggnads Aktiebolag,5568950249,Aktiebolag,Stockholms län,,,2012-06-01
Gabab i Stockholm AB,5567128268,Aktiebolag,Stockholms län,,,2006-10-13
Get Home Plåt AB,5590851514,Aktiebolag,Stockholms län,,,2016-11-15
Global Markmiljö i Stockholm AB,5567416341,Aktiebolag,Stockholms län,,,2007-11-01
GNAB BYGG ENTREPRENAD AB,5568980873,Aktiebolag,Skåne län,,,2012-07-03
GO Bygg o Betong AB,5569773715,Aktiebolag,Örebro län,,,2014-07-11
Golv & Betongteknik i Sverige AB,5569834087,Aktiebolag,Örebro län,,,2014-09-18
Golvteknik S Holmén AB,5569781254,Aktiebolag,Stockholms län,,,2014-07-23
Gulnare AB,5569874182,Aktiebolag,Stockholms län,,,2014-10-22
Göranssons Anläggningar                           Aktiebolag,5562277045,Aktiebolag,Skåne län,,,1983-04-14
G-M Glas AB,5567162721,Aktiebolag,Dalarnas län,,,2006-11-24
G2 Hyrmaskiner AB,5566933270,Aktiebolag,Gävleborgs län,,,2005-12-09
Hagbys Rör Entreprenad AB,5566694963,Aktiebolag,Värmlands län,,,2004-10-29
Hagmans Tak Fritsla AB,5565510616,Aktiebolag,Västra Götalands län,,,1998-01-12
Hagmans Tak Göteborg AB,5567927065,Aktiebolag,Västra Götalands län,,,2009-11-04
Hallands Service AB,5567932594,Aktiebolag,Hallands län,,,2009-11-09
Haninge El & personal AB,5565152484,Aktiebolag,Stockholms län,,,1995-06-28
Hansen Lau Entreprenad AB,5564610656,Aktiebolag,Stockholms län,,,1993-01-20
Hanssons Rivning och Håltagning AB,5567734669,Aktiebolag,Skåne län,,,2008-12-18
Hantverkarna i Östergötland AB,5590457163,Aktiebolag,Östergötlands län,,,2016-01-04
Hjortsås Bygg & Entreprenad AB,5590582127,Aktiebolag,Skåne län,,,2016-04-08
Homesafe Scandinavia Aktiebolag,5566694112,Aktiebolag,Västra Götalands län,,,2004-10-29
Hulta Försäljnings AB,5590299920,Aktiebolag,Jönköpings län,,,2015-10-12
Husdränering i Sverige AB,5569185639,Aktiebolag,Västra Götalands län,,,2013-01-10
Infraboss Sweden AB,5590296611,Aktiebolag,Jönköpings län,,,2015-10-08
J Uvéns Entreprenad & Golv AB,5564738580,Aktiebolag,Norrbottens län,,,1993-09-30
IUT Furnaces and Energy Sweden AB,5590502513,Aktiebolag,Västra Götalands län,,,2016-02-05
J.G Ventilation Aktiebolag,5560419532,Aktiebolag,Stockholms län,,,1942-12-18
JAS Gruppen AB,5569872657,Aktiebolag,Örebro län,,,2014-10-22
Bålsta mark & bygg AB,5590643937,Aktiebolag,Stockholms län,,,2016-05-27
JCP Frakt AB,5569041972,Aktiebolag,Stockholms län,,,2012-09-19
JDM i Malmfälten AB,5566565122,Aktiebolag,Norrbottens län,,,2004-02-24
Jernlodet Craft AB,5590325923,Aktiebolag,Stockholms län,,,2015-10-29
JiA Byggtjänst AB,5569069593,Aktiebolag,Västra Götalands län,,,2012-10-16
Jonas Bygg & Plattsättning i Anderstorp AB,5590231105,Aktiebolag,Jönköpings län,,,2015-08-17
Järna Berg AB,5567423156,Aktiebolag,Stockholms län,,,2007-11-08
Jörges bygg & städ AB,5590436191,Aktiebolag,Stockholms län,,,2015-12-21
K.A. Ställningar i Luleå Aktiebolag,5560670944,Aktiebolag,Norrbottens län,,,1958-08-25
Kaiser Entreprenad AB,5569733305,Aktiebolag,Västra Götalands län,,,2014-06-02
KBS Nordic AB,5569526634,Aktiebolag,Stockholms län,,,2013-12-09
Kent Johansson Golv & Kakel AB,5567619795,Aktiebolag,Västra Götalands län,,,2008-07-08
KEO-Stugan AB,5568436207,Aktiebolag,Gävleborgs län,,,2011-03-01
KRN Mark & Bygg i Sverige AB,5590330295,Aktiebolag,Stockholms län,,,2015-11-02
Krokeks Glas & Fasad Aktiebolag,5567527360,Aktiebolag,Stockholms län,,,2008-03-03
Krossholmen Bygg & Konsult AB,5563559185,Aktiebolag,Västra Götalands län,,,1989-04-17
KS Sverige Construction AB,5569891574,Aktiebolag,Västra Götalands län,,,2014-11-04
KÅLAB i Gällivare Aktiebolag,5564453586,Aktiebolag,Norrbottens län,,,1992-03-20
Laholms Montage AB,5590166905,Aktiebolag,Hallands län,,,2015-06-08
Lars Olsson Bygg i Uddevalla AB,5569917379,Aktiebolag,Västra Götalands län,,,2014-11-24
Lars-Åke Malmquist AB,5565062444,Aktiebolag,Skåne län,,,1995-01-10
LC-Prefab i Ljusdal AB,5568703655,Aktiebolag,Skåne län,,,2011-11-02
Lego rivning AB,5569379885,Aktiebolag,Stockholms län,,,2013-07-23
LE-EL i Orsa Aktiebolag,5562261841,Aktiebolag,Dalarnas län,,,1983-03-30
LF Entreprenad AB,5568408313,Aktiebolag,Uppsala län,,,2011-02-04
LinCo Entreprenad AB,5590326095,Aktiebolag,Västra Götalands län,,,2015-10-29
Listuddens Förvaltning AB,5567040414,Aktiebolag,Stockholms län,,,2006-05-12
Ludwigs Pool & Badrum Bygg AB,5568291297,Aktiebolag,Västra Götalands län,,,2010-12-03
M & A SILFVERBERGS BYGG AB,5568176613,Aktiebolag,Hallands län,,,2010-09-03
MA Gruppen i Halmstad AB,5567126684,Aktiebolag,Hallands län,,,2006-10-11
MAGF BYGG AB,5567939847,Aktiebolag,Skåne län,,,2009-11-20
Magnus Johansson & Son Måleri Nord AB,5590477112,Aktiebolag,Västra Götalands län,,,2016-01-19
Majoni Bostad Inredning AB,5566871017,Aktiebolag,Stockholms län,,,2005-10-05
Markteknik i Mälardalen AB,5567332399,Aktiebolag,Stockholms län,,,2007-07-02
Maskinresurs i Sverige AB,5568405541,Aktiebolag,Västra Götalands län,,,2011-02-03
MHT Takentreprenören i Malmö Aktiebolag,5561702340,Aktiebolag,Skåne län,,,1972-10-05
Mikael. Robin. Martin. Bygg i Sala AB,5568232051,Aktiebolag,Västmanlands län,,,2010-11-02
Milan & Katarina Bygg AB,5590197041,Aktiebolag,Stockholms län,,,2015-07-03
MJ Rörtjänst i Dalarna AB,5568305899,Aktiebolag,Dalarnas län,,,2010-12-08
MMBygg Fönsterrenovering AB,5569434391,Aktiebolag,Stockholms län,,,2013-09-25
Modern Marine Homes Sweden AB,5566264106,Aktiebolag,Kalmar län,,,2002-04-30
Montagekraft i Norden AB,5590067525,Aktiebolag,Västmanlands län,,,2015-03-09
Mora Måleri & Golv AB,5569244501,Aktiebolag,Dalarnas län,,,2013-03-01
MPS Entreprenad AB,5590268321,Aktiebolag,Skåne län,,,2015-09-17
NFL Bygg & Entreprenad Aktiebolag,5569611352,Aktiebolag,Gävleborgs län,,,2014-02-06
NFT Bygg & Förvaltning AB,5590039581,Aktiebolag,Stockholms län,,,2015-02-12
NGU I Luleå AB,5567972467,Aktiebolag,Norrbottens län,,,2009-12-16
Nordic Networks Sweden AB,5569246555,Aktiebolag,Östergötlands län,,,2013-03-04
NORDISKA VVS ENTREPRENADER AB,5569783334,Aktiebolag,Stockholms län,,,2014-07-30
Nordmarks Stockholm AB,5563735595,Aktiebolag,Stockholms län,,,1989-10-25
NORRA GOTLANDS BYGG AB,5567039820,Aktiebolag,Gotlands län,,,2006-05-12
Norrbottens Bygg & Anläggning AB,5590516646,Aktiebolag,Norrbottens län,,,2016-02-18
Norrbyggen i Västerbotten AB,5590909114,Aktiebolag,Västerbottens län,,,2016-12-14
Norrlands Värme & Sanitet AB,5590306030,Aktiebolag,Västernorrlands län,,,2015-10-15
NPG Bygg AB,5567264303,Aktiebolag,Västra Götalands län,,,2007-03-15
Nybrostrands Bygg & Anläggning AB,5568072341,Aktiebolag,Skåne län,,,2010-05-03
Nykvarn Mark & bygg AB,5567273122,Aktiebolag,Stockholms län,,,2007-03-28
Obtego AB,5569104853,Aktiebolag,Stockholms län,,,2012-11-15
Odecon Sweden AB,5566203369,Aktiebolag,Stockholms län,,,2001-12-17
Optimal Tech Stockholm AB,5568312077,Aktiebolag,Stockholms län,,,2010-12-09
Oskarshamns Murning & Kakel AB,5566759261,Aktiebolag,Kalmar län,,,2005-02-04
Ostrategisk Byggförmedling i Sverige AB,5567438188,Aktiebolag,Värmlands län,,,2007-11-22
P.Bjerkedals AB,5567573042,Aktiebolag,Stockholms län,,,2008-05-02
Patrik Lundman Bygg & Inredning i Sundsvall AB,5566353842,Aktiebolag,Västernorrlands län,,,2002-12-05
Pontus Sjöberg i Göteborg Bygg AB,5569784928,Aktiebolag,Stockholms län,,,2014-07-31
Prefab Hus i Sverige Aktiebolag,5565874236,Aktiebolag,Skåne län,,,2000-04-04
Prestandafönster AB,5569899510,Aktiebolag,Stockholms län,,,2014-11-11
Puts och bygg i Motala AB,5590352109,Aktiebolag,Östergötlands län,,,2015-11-16
P-11 Bygg AB,5568979792,Aktiebolag,Stockholms län,,,2012-07-02
Qwinsta Bygg och Montage AB,5568456395,Aktiebolag,Örebro län,,,2011-03-11
Regelverket Bygg & Bemanning AB,5590251079,Aktiebolag,Värmlands län,,,2015-09-03
Ribby Bygg AB,5590297320,Aktiebolag,Stockholms län,,,2015-10-09
River Valley Electro AB,5568003965,Aktiebolag,Dalarnas län,,,2010-02-08
RKJ Åkeri AB,5568146616,Aktiebolag,Stockholms län,,,2010-07-12
Rogers Gräv och Linjemontage i Älvdalen AB,5590822929,Aktiebolag,Dalarnas län,,,2016-10-27
Rosanders Bygg i Linköping AB,5590062922,Aktiebolag,Östergötlands län,,,2015-03-05
Runqvist Bygg Aktiebolag,5565525713,Aktiebolag,Östergötlands län,,,1998-02-10
RUSTABO AB,5563121382,Aktiebolag,Dalarnas län,,,1988-04-19
Rustikt Bygg och Entreprenad GBG AB,5590657416,Aktiebolag,Västra Götalands län,,,2016-06-08
Rödjemyr Teknik Driftservice AB,5562346774,Aktiebolag,Örebro län,,,1983-10-14
Rönngren-gruppen AB,5561653121,Aktiebolag,Gävleborgs län,,,1972-06-12
Rörjouren Skåne AB,5567737480,Aktiebolag,Skåne län,,,2008-12-19
Scaffolding international group north AB,5590535877,Aktiebolag,Västernorrlands län,,,2016-03-02
Scandeva Aktiebolag,5569422818,Aktiebolag,Hallands län,,,2013-09-12
Sedins Fiber o Entreprenad AB,5590066386,Aktiebolag,Hallands län,,,2015-03-09
Settler Rail AB,5590887104,Aktiebolag,Gävleborgs län,,,2016-12-05
SHV BYGG AB,5568402597,Aktiebolag,Västra Götalands län,,,2011-02-02
Silleruds Byggtjänst AB,5568882707,Aktiebolag,Värmlands län,,,2012-03-20
Simons Mälardalen AB,5569154825,Aktiebolag,Västmanlands län,,,2012-12-17
Sjöberg Edin Aktiebolag,5569242992,Aktiebolag,Stockholms län,,,2013-03-01
Sjölinders Riv & Byggtjänst AB,5568971864,Aktiebolag,Jämtlands län,,,2012-07-01
Skanör stenhus AB,5569179756,Aktiebolag,Skåne län,,,2013-01-04
Slutskjutsen AB,5564383858,Aktiebolag,Uppsala län,,,1991-11-27
SNSK Gruppen AB,5566757620,Aktiebolag,Stockholms län,,,2005-02-02
Sockersand Städ&Sanering AB,5567195853,Aktiebolag,Stockholms län,,,2007-01-08
SP Bergfrakt AB,5568226475,Aktiebolag,Norrbottens län,,,2010-11-01
SRB Group Stockholm Aktiebolag,5569102188,Aktiebolag,Stockholms län,,,2012-11-13
Stockholms Elektriska I Sverige AB,5569194631,Aktiebolag,Stockholms län,,,2013-01-18
Stommontage i Munkedal AB,5590433909,Aktiebolag,Västra Götalands län,,,2015-12-21
Storstockholms Eltjänst AB,5568224017,Aktiebolag,Stockholms län,,,2010-11-01
Ställningar i Stockholm AB,5568971856,Aktiebolag,Stockholms län,,,2012-07-01
Jordkällaren i Karlstad AB,5562627462,Aktiebolag,Värmlands län,,,1985-06-27
SV TAK AB,5569394710,Aktiebolag,Stockholms län,,,2013-08-16
Svea Spårservice AB,5568907090,Aktiebolag,Stockholms län,,,2012-04-17
Sven Fransson Hushållsservice AB,5565958955,Aktiebolag,Skåne län,,,2000-08-16
Svensk Elitbygg & Design AB,5568665284,Aktiebolag,Stockholms län,,,2011-10-05
Svenska Bygge AB,5569518755,Aktiebolag,Östergötlands län,,,2013-12-04
Svenska Inomhusklimat AB,5567135768,Aktiebolag,Örebro län,,,2006-10-23
Swebalt Entreprenad i Stockholm AB,5565873394,Aktiebolag,Stockholms län,,,2000-04-04
Sydenstens Entreprenad AB,5569661092,Aktiebolag,Skåne län,,,2014-03-24
Synergo Byggentreprenad AB,5567630248,Aktiebolag,Stockholms län,,,2008-07-28
