company,id,status,actual_status,remark,default_date
Studio Eva Schildt AB,5590643028,aktivt,aktivt,,
LF Fönsterrenovering AB,5569096398,aktivt,aktivt,,
LAQ Bygg AB,5568077167,aktivt,aktivt,,
Egerton Projekt AB,5590370895,aktivt,aktivt,,
NACKA MARKKONSULT AB,5590423991,aktivt,aktivt,,
Hera Vincent Property AB,5591477707,aktivt,aktivt,,
Snickargården Myhrberg AB,5565872644,aktivt,aktivt,,
Björn Svedén Aktiebolag,5564365723,aktivt,aktivt,,
Ola Hedmans Bygg AB,5566444203,aktivt,aktivt,,
Hemberg Martinsson Bygg AB,5591413157,aktivt,aktivt,,
P W Eklunds Entreprenad AB,5590310248,inaktivt,Registrerad,Konkurs inledd,2020-07-24
PE Ventkontroll AB,5590020789,aktivt,aktivt,,
Din Målare i Stockholm AB,5567468524,aktivt,aktivt,,
JP Build-Up AB,5568921125,aktivt,aktivt,,
Emå Entreprenad AB,5569287104,aktivt,aktivt,,
Bygg&Service4You Täby AB,5569896763,aktivt,aktivt,,
Peter Roos VVS AB,5567148043,aktivt,aktivt,,
DL Constructions AB,5566647888,aktivt,aktivt,,
Neman Gruppen AB,5590065925,aktivt,aktivt,,
Maria Lennartsson Konsult AB,5568755796,aktivt,aktivt,,
MB Team AB,5568427909,aktivt,aktivt,,
Jörgen's Datagolv Aktiebolag,5564974243,aktivt,aktivt,,
Brantbrinks Rör & Bygg AB,5569886566,aktivt,aktivt,,
Himlen Fönster och Allservice AB,5591963946,aktivt,aktivt,,
YTH-Bygg AB,5568366503,aktivt,aktivt,,
Olsson Prefab Entreprenad AB,5569831315,aktivt,aktivt,,
John & Manuel Fasadputsarna AB,5569525602,aktivt,aktivt,,
Renvik AB,5590641162,aktivt,aktivt,,
Spirres Fönsterrenovering AB,5569491789,aktivt,aktivt,,
Byggbiten i Huddinge AB,5569426116,aktivt,aktivt,,
Tom Berghäll Mätteknik och Anläggning Aktiebolag,5564751096,aktivt,aktivt,,
omniplan AB,5566743299,aktivt,aktivt,,
Byeks Kök och inredning AB,5568836471,aktivt,aktivt,,
Busznyak Invest AB,5590722087,aktivt,aktivt,,
Jedestav Tak AB,5564590247,aktivt,aktivt,,
Lindfors Projekt AB,5592032485,aktivt,aktivt,,
Åsätra Mark Aktiebolag,5565028379,aktivt,aktivt,,
EL BERGMAN STH AB,5569126468,aktivt,aktivt,,
CHRISTAB AB,5591363329,aktivt,aktivt,,
Håberget Consulting AB,5591266860,aktivt,aktivt,,
Söderorts Plåtslageri AB,5590576871,aktivt,aktivt,,
Aktiebolaget Ameco,5568383920,aktivt,aktivt,,
Des Mond AB,5565131314,aktivt,aktivt,,
Aktiebolaget Lennart Johansson Inredningar,5563507408,aktivt,aktivt,,
Roslagens Mjukfog AB,5590922125,aktivt,aktivt,,
Lars Erik Lindberg AB,5566230602,aktivt,aktivt,,
Nynäshamn Bygg & Hus AB,5567447957,aktivt,aktivt,,
Jonebo Bygg & Platt AB,5566130182,aktivt,aktivt,,
Sofo Entrepenad AB,5591075014,aktivt,aktivt,,
ALT-Taktjenst AB,5569748220,inaktivt,Registrerad,Konkurs inledd,2018-09-05
Ramverksta'n R Lindberg Aktiebolag,5562869379,aktivt,aktivt,,
Fornboda Bygg och Snickerier AB,5563923753,aktivt,aktivt,,
Swedish Soul AB,5590297841,aktivt,aktivt,,
Sammlands Entreprenad AB,5564913464,aktivt,aktivt,,
Törnqvist Mark & Entreprenad AB,5569594277,aktivt,aktivt,,
Jönsson Yderström aktiebolag,5591954499,aktivt,aktivt,,
Innovations bygg in Sweden AB,5590740386,aktivt,aktivt,,
Fjällsviks Plåtslageri Aktiebolag,5567651988,aktivt,aktivt,,
Rs Sverige AB,5590805056,inaktivt,Registrerad,Konkurs inledd,2020-03-03
Stockholms Trä & Golvslipning AB,5565164968,aktivt,aktivt,,
Sturehovs VVS AB,5568726656,aktivt,aktivt,,
Norrim Bygg & Fastighetsprojekt AB,5567143887,aktivt,aktivt,,
P. Ivarsson Måleri & Kakel AB,5566414958,aktivt,aktivt,,
Peter Lindqvist Bygg o Design Aktiebolag,5563686962,aktivt,aktivt,,
Ninjo Fastigheter AB,5590101019,aktivt,aktivt,,
GMC Glass&Metal Construction AB,5591296438,aktivt,aktivt,,
Björknäs Schakt & Alltjänst Aktiebolag,5566619986,aktivt,aktivt,,
Dollar Profile AB,5565665576,aktivt,aktivt,,
Lindin Måleri AB,5566546114,aktivt,aktivt,,
Mekanluft AB,5591802458,aktivt,aktivt,,
arkitektstudio haga AB,5592105265,aktivt,aktivt,,
Oscar Liedgren Studio AB,5568223829,aktivt,aktivt,,
Gretabo Utveckling AB,5591916373,aktivt,aktivt,,
Mattes Entreprenad AB,5565961199,aktivt,aktivt,,
Lundqvist bad och bygg AB,5568071715,aktivt,aktivt,,
THID Interior Design AB,5590549092,aktivt,aktivt,,
Tobias Berneth Design AB,5567700504,aktivt,aktivt,,
SkyMap Stockholm AB,5591504948,aktivt,aktivt,,
Lika Projekt i Märsta AB,5568143290,aktivt,aktivt,,
Top Notch Design AB,5566946744,aktivt,aktivt,,
BergThornton Arkitekter AB,5568910243,aktivt,aktivt,,
Gräven AB,5564751401,aktivt,aktivt,,
Akustiklaget AB,5567295109,aktivt,aktivt,,
ARONSSON 3 Inreder Aktiebolag,5564366432,aktivt,aktivt,,
08 Glas i Stockholm AB,5568811706,aktivt,aktivt,,
JH mark entreprenad i Stockholm AB,5569163156,aktivt,aktivt,,
Julis Bygg AB,5590745674,aktivt,aktivt,,
Bollstanäs ByggKonsult AB,5569806648,aktivt,aktivt,,
Nessen Förvaltnings Aktiebolag,5560413329,aktivt,aktivt,,
Gebert Konsulting AB,5568809916,aktivt,aktivt,,
M Strategi och Project AB,5591576094,aktivt,aktivt,,
arkitektur + development RW AB,5565877668,aktivt,aktivt,,
Notung AB,5591524714,aktivt,aktivt,,
Älvsjö Elektriska Aktiebolag,5561203703,aktivt,aktivt,,
Blomster MBA Förvaltning i Täby AB,5565464699,aktivt,aktivt,,
Silvas Bygg AB,5591394761,aktivt,aktivt,,
Lås & Vattengruppen i Sverige AB,5561263731,aktivt,aktivt,,
NORRA ÄNGBY BYGG AB,5590714514,aktivt,aktivt,,
svenskafastighetservice AB,5590065586,aktivt,aktivt,,
Fecondo AB,5562175900,inaktivt,Registrerad,Konkurs avslutad,med
Jan Larsson Hiss- & Rulltrappskonsult AB,5568934540,aktivt,aktivt,,
Exxakt el AB,5568911100,aktivt,aktivt,,
ESS Projektledning AB,5567908974,aktivt,aktivt,,
Fastighets AB Sjögränd,5562234541,aktivt,aktivt,,
Kalle Nordlund Bygg & Besiktning AB,5563632693,aktivt,aktivt,,
Södertälje Mark och anläggningsteknik AB,5568889934,aktivt,aktivt,,
TD Måleritjänst AB,5591584734,aktivt,aktivt,,
Eliassons Bad & Golv AB,5568149057,aktivt,aktivt,,
Lundberg Aguilera Arkitekter AB,5568125545,aktivt,aktivt,,
AO Olsson's Entreprenad AB,5567449706,aktivt,aktivt,,
Prim CC AB,5590266903,aktivt,aktivt,,
Rollerboys Måleri Stockholm AB,5590714589,aktivt,aktivt,,
KTB Projekt AB,5590462072,aktivt,aktivt,,
Arkvision Sverige AB,5590817903,aktivt,aktivt,,
JAL Projekt AB,5591813638,aktivt,aktivt,,
Hissprojektering Kristofer Gyllensvärd AB,5569064792,aktivt,aktivt,,
Plåtbiten Stockholm AB,5568173594,aktivt,aktivt,,
Delsius Måleri & Byggnation AB,5590105234,aktivt,aktivt,,
ADR Bemanning Stockholm AB,5566797204,aktivt,aktivt,,
Q bi q AB,5567796254,aktivt,aktivt,,
Blue Planet Management AB,5591987739,aktivt,aktivt,,
HLM Bygg AB,5567651947,aktivt,aktivt,,
MP Keramik och Plattsättning AB,5568483985,aktivt,aktivt,,
REK Elektriska AB,5567355929,aktivt,aktivt,,
JG Faktor AB,5569509721,aktivt,aktivt,,
Stackelberg & Co AB,5569556276,aktivt,aktivt,,
J O Plåtslageri Aktiebolag,5562648682,aktivt,aktivt,,
Gardinmontage Sverige AB,5569665838,aktivt,aktivt,,
JLD Bygg & Entreprenad AB,5591208607,aktivt,aktivt,,
SEVE Investment Bygg AB,5591241673,aktivt,aktivt,,
Raimo Pajamäki AB,5569313660,aktivt,aktivt,,
ADA Kök & Hus AB,5568673916,aktivt,aktivt,,
Asplund Betong AB,5591951016,aktivt,aktivt,,
Sundbybergs Kakel & Klinker AB,5568824824,aktivt,aktivt,,
Constructon International AB,5591550818,aktivt,aktivt,,
ETN Holding Aktiebolag,5564202900,aktivt,aktivt,,
W/F Gruppen AB,5568598527,aktivt,aktivt,,
Fem D Konsulterna Projektstöd AB,5591553333,aktivt,aktivt,,
Ventair Sverige AB,5591019913,aktivt,aktivt,,
Solid Entreprenad i Sthlm AB,5591939953,aktivt,aktivt,,
HEJHEJ AB,5568382104,aktivt,aktivt,,
Haga El i Vallentuna AB,5591444509,aktivt,aktivt,,
Hubert Björkmans Skärgårdsbygg AB,5569873655,aktivt,aktivt,,
BYGG OCH INREDNINGSSERVICE KM AB,5568498322,aktivt,aktivt,,
Ehdwall-gruppen AB,5569305898,aktivt,aktivt,,
Patrik Källander Åkare Aktiebolag,5565303715,aktivt,aktivt,,
Largo Kraft&Entreprenad AB,5591823322,aktivt,aktivt,,
Olle Beckers Entreprenad AB,5565571782,aktivt,aktivt,,
Skarpaby El AB,5566209150,aktivt,aktivt,,
CAVA Kök & Bad AB,5566563192,aktivt,aktivt,,
Myskoxen Timmerhus AB,5569632713,aktivt,aktivt,,
Estonian Trading Services AB,5590947981,aktivt,aktivt,,
Futuraplåt AB,5590188636,aktivt,aktivt,,
Huddinge Eltjänst AB,5565988028,aktivt,aktivt,,
Nedersta Schakt & Planering AB,5566365531,aktivt,aktivt,,
Peter Martin System Städ AB,5567923163,inaktivt,Registrerad,Konkurs inledd,2020-07-23
Hannu Lamu Plåt & Vent AB,5566094701,aktivt,aktivt,,
ANSO Förvaltning AB,5568205339,aktivt,aktivt,,
Doctor VVS i Vendelsö AB,5568160625,aktivt,aktivt,,
Mälaröarnas Lås AB,5591157499,aktivt,aktivt,,
72nollsju AB,5568182140,aktivt,aktivt,,
Målarna i Rotvik AB,5568298136,aktivt,aktivt,,
Prytz F-konsult AB,5590717186,aktivt,aktivt,,
Bergander El & Industriteknik AB,5568559776,aktivt,aktivt,,
Ventilma AB,5590851753,aktivt,aktivt,,
Claes Dalén Interiors AB,5591218101,aktivt,aktivt,,
BrainChild AB,5566785936,aktivt,aktivt,,
Byggutsättarna Stockholm AB,5569754731,aktivt,aktivt,,
Kymendö El & Transport AB,5590006507,aktivt,aktivt,,
Voorkraft Aktiebolag,5590717715,aktivt,aktivt,,
Meromet AB,5591230668,aktivt,aktivt,,
Särelinds Bygg AB,5569827990,aktivt,aktivt,,
HODO Management AB,5591103303,aktivt,aktivt,,
Svensk Brandskyddsplanering AB,5568612708,aktivt,aktivt,,
Craft Solution Bygg AB,5591469670,aktivt,aktivt,,
BM Petersson Bygg AB,5566592993,aktivt,aktivt,,
TRK Entreprenad AB,5569444119,aktivt,aktivt,,
MVS MONTAGE AB,5591113674,aktivt,aktivt,,
Me-2 Sweden AB,5569382806,aktivt,aktivt,,
LM Glastjänst AB,5590220736,aktivt,aktivt,,
Combify AB,5591226922,aktivt,aktivt,,
PLANOFORM AGENCIES AB,5568546369,aktivt,aktivt,,
Bonfire Holding AB,5568521610,inaktivt,Registrerad,Konkurs inledd,2020-11-23
Stefan Dahlgren Fastighetsutveckling AB,5590165790,aktivt,aktivt,,
Stillinge Byggnads Aktiebolag,5561572966,aktivt,aktivt,,
Kummelby Måleri AB,5568670540,aktivt,aktivt,,
Johnny Larsson Byggare Aktiebolag,5564235801,aktivt,aktivt,,
Drakbygget AB,5569874430,aktivt,aktivt,,
Brädat AB,5590318324,aktivt,aktivt,,
Urban Responsibility AB,5590180187,aktivt,aktivt,,
QICON Services AB,5591697734,aktivt,aktivt,,
MW:s Rep och byggsmide AB,5568119225,aktivt,aktivt,,
J Wallerstein Bygg AB,5591161756,aktivt,aktivt,,
Skorstensmästaren Sverige AB,5569167959,aktivt,aktivt,,
Yakup Ant Bygg AB,5569404469,aktivt,aktivt,,
Profil hus i Tyresö Aktiebolag,5565803128,aktivt,aktivt,,
Sudbina Bygg AB,5591742027,aktivt,aktivt,,
Rybak Bygg AB,5569003162,aktivt,aktivt,,
FRIYU ANLÄGGNINGS AB,5592045461,aktivt,aktivt,,
LCM Konsult AB,5569125569,aktivt,aktivt,,
BARTEK Projektering AB,5567437776,aktivt,aktivt,,
Gaido Consulting AB,5591280515,aktivt,aktivt,,
C. Söderströms El & Kraft AB,5566263199,aktivt,aktivt,,
Visättra Bygg & Plåt AB,5590785118,aktivt,aktivt,,
Elektrikern i Norrtälje El & Tele AB,5568371255,aktivt,aktivt,,
B.G. Hansson Aktiebolag,5562905959,aktivt,aktivt,,
Stikkan Design AB,5569147688,aktivt,aktivt,,
Mikael Malmberg VVS AB,5568771587,aktivt,aktivt,,
Tron AB,5568407752,aktivt,aktivt,,
VZ Consulting AB,5590723713,aktivt,aktivt,,
Jenny Bronäs Arkitektur AB,5591518120,aktivt,aktivt,,
Team Schillström AB,5569201857,aktivt,aktivt,,
Målerigruppen FDD AB,5590617816,inaktivt,Registrerad,Konkurs inledd,2019-01-11
100 procent Projekt Stockholm AB,5566515408,aktivt,aktivt,,
Stockholms Rörarbeten AB,5569940678,aktivt,aktivt,,
Springsign Interior AB,5591858278,aktivt,aktivt,,
U-Con Byggservice AB,5567585178,aktivt,aktivt,,
ASSB Stockholm AB,5569957961,aktivt,aktivt,,
HOWAB Projekt- & byggledning AB,5591352611,aktivt,aktivt,,
Studio Stefan Evertson Aktiebolag,5563311181,aktivt,aktivt,,
Bröderna Pettersson Rörtjänst Aktiebolag,5562423789,aktivt,aktivt,,
Saltelin AB,5569110728,aktivt,aktivt,,
Gudby Invest Aktiebolag,5563695351,aktivt,aktivt,,
Fladvad Samhällsprojekt AB,5567467989,aktivt,aktivt,,
Stensängens Rör AB,5567372445,aktivt,aktivt,,
Lillemans Grävtjänst AB,5590711791,aktivt,aktivt,,
FHL BYGG AB,5569144933,aktivt,aktivt,,
Grävbolaget Norrtälje AB,5590167655,aktivt,aktivt,,
AttefallsDesign Sverige AB,5591851992,aktivt,aktivt,,
CAG SVETS OCH MONTAGE AB,5591922363,aktivt,aktivt,,
ZODIAK Arkitekter AB,5565368080,aktivt,aktivt,,
HEAB; Hermanssons Elektriska Aktiebolag,5561136507,aktivt,aktivt,,
Danderyds Måleri och Konsult AB,5591123889,aktivt,aktivt,,
STENINGE ISOLERING Aktiebolag,5563521615,aktivt,aktivt,,
Näckrosens Måleri Aktiebolag,5565809455,aktivt,aktivt,,
HRB Installation AB,5591902183,aktivt,aktivt,,
Småländska Drömhus AB,5565222519,aktivt,aktivt,,
J.esper A.lan Construction AB,5590018593,aktivt,aktivt,,
Kennevalls Byggservice AB,5567821201,aktivt,aktivt,,
Forslin bygg&entreprenad AB,5591272587,aktivt,aktivt,,
Golvfixarna i Stockholm Aktiebolag,5564941416,aktivt,aktivt,,
Jonssons Glasmästeri i Märsta Eftr. AB,5567636724,aktivt,aktivt,,
Mateo Bygg & Design AB,5590036868,aktivt,aktivt,,
Brodds Elektriska AB,5566513676,aktivt,aktivt,,
Husby700 Isolering AB,5591332928,aktivt,aktivt,,
PLI Bygg AB,5568360829,aktivt,aktivt,,
Munck Inredningsarkitekter Aktiebolag,5563987006,aktivt,aktivt,,
4U.Construction Stockholm AB,5567151427,aktivt,aktivt,,
ROSOD Projekt & Byggledning AB,5591352322,aktivt,aktivt,,
STHLM Developer AB,5564991767,aktivt,aktivt,,
Bäckmans VVS Service AB,5569540197,aktivt,aktivt,,
