company,id,status,actual_status,remark,default_date
Sjöviks Entreprenad i Fagerhult AB,5568230964,aktivt,aktivt,,
Kaerrman Bygghjälp AB,5567606743,aktivt,aktivt,,
Blychert Glas AB,5569328726,aktivt,aktivt,,
Paving Sweden AB,5590550629,aktivt,aktivt,,
Mikna AB,5567885636,aktivt,aktivt,,
Jan Claessons Rör AB,5565067708,aktivt,aktivt,,
Artgard Byggnad AB,5590646666,aktivt,aktivt,,
Bobecks Bygg & Konsult AB,5569266082,aktivt,aktivt,,
Bankeryds Plåt Aktiebolag,5564012218,aktivt,aktivt,,
Hus- & Fastighetsexperten Jönköping AB,5590274600,aktivt,aktivt,,
Reason Aktiebolag,5563045045,aktivt,aktivt,,
Endins Bygg AB,5569510786,aktivt,aktivt,,
Smålands byggnadsvård AB,5590777370,aktivt,aktivt,,
VVS Rodrigo AB,5590669544,aktivt,aktivt,,
Moliden konsult AB,5591143309,aktivt,aktivt,,
Sven Anderssons Rör Aktiebolag,5560865361,aktivt,aktivt,,
Nässjö Spoltjänst AB,5569759383,aktivt,aktivt,,
Yngves Bygg och Fastighets AB,5591385769,aktivt,aktivt,,
Marieholms VedVärme AB,5569319758,aktivt,aktivt,,
FA Plåt & Isolering AB,5591840490,aktivt,aktivt,,
Granhöjdens Elinstallationer i Jönköping AB,5567976377,aktivt,aktivt,,
Aktiebolaget Rydaholms Värme & Sanitet,5561087593,aktivt,aktivt,,
Alarps Mureri AB,5591010979,aktivt,aktivt,,
J Thormans Bygg AB,5591403638,aktivt,aktivt,,
Ånhults Snickeri AB,5591388292,aktivt,aktivt,,
Hovslätts Golvcentral Aktiebolag,5560946898,aktivt,aktivt,,
Eltjänst i Eksjö Aktiebolag,5561375212,aktivt,aktivt,,
Underworld Productions AB,5567933477,aktivt,aktivt,,
Mafix AB,5568226178,aktivt,aktivt,,
Waldab AB,5566502703,aktivt,Registrerad,,
Tjärnhuset i Jönköping AB,5590280441,aktivt,aktivt,,
Kronobergs Skorstensservice AB,5567748602,aktivt,aktivt,,
Anders Lindberg Mur & Plattsättning AB,5568784523,aktivt,aktivt,,
SIU Entreprenad AB,5569744658,aktivt,aktivt,,
Nordisk System Teknik AB,5568519366,aktivt,aktivt,,
Aktiebolaget Västbo Isolering,5562096791,aktivt,aktivt,,
